Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
School Head of Admissions,Full Time,On-site,Egypt Education Platform,"Riyadh, Saudi Arabia",Posted 27 days ago,48,1 open position,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Marketing', 'School', 'Education']"
Senior Backend Developer,Full Time,Hybrid,RocketDevs,"Cairo, Egypt",Posted 1 month ago,12,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Software Development', 'Ruby', 'Ruby on Rails', 'Infrastructure Engineering', 'Computer Science', 'Software Engineering', 'Web Development', 'API']"
Civil Engineer,Full Time,On-site,SAAB Engineering Consulating Office,"Agouza, Giza",Posted 23 days ago,74,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Civil Engineering', 'Design', 'Communication', 'Site', 'Engineering', 'Civil', 'civil 3d', 'Construction', 'Management', '3D']"
Senior Tendering Engineer,Full Time,On-site,REDCON Construction Co. S.A.E,"Cairo, Egypt",Posted 30 days ago,50,4 open positions,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Civil', 'tender', 'Engineering', 'Tendering']"
Senior Android Developer,Full Time,Hybrid,Fixed Solutions,"Cairo, Egypt",Posted 3 days ago,31,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Android', 'APIs', 'Software Engineering', 'Software Development', 'UI', 'Information Technology (IT)', 'Design', 'Computer Science', 'Engineering', 'Debugging', 'Testing']"
