Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Customer Service Agent - French,Full Time,On-site,Great Foods,"Bourj Alarab, Alexandria",Posted 2 months ago,28,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Agent', 'Customer Support', 'Customer', 'Customer Service', 'Customer service agent', 'Customer Care', 'Call Center', 'french', 'English', 'CRM', 'Communication', 'Administration']"
Human Resources Generalist,Full Time,On-site,,"Alsadat City, Monufya",Posted 25 days ago,37,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,"Confidential, Competitive Salary, Commensurate With Experience, Individual Private Medical Insurance, Two Days Off.",Human Resources,"['HR', 'Human Resources (HR)', 'Labor Laws', 'Labor', 'Recruitment', 'Skills', 'Communication', 'Communication skills', 'Personnel', 'MS Office', 'Microsoft Office']"
International Operations Coordinator,Full Time,On-site,TUT E-commerce,"Maadi, Cairo",Posted 2 months ago,82,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Logistics', 'Operations', 'business', 'Communication', 'Communication skills', 'Management', 'Project Management', 'Projects', 'Microsoft Office']"
Production Engineer,Full Time,On-site,Euromed for Medical industries,"Nasr City, Cairo",Posted 1 month ago,108,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Manufacturing/Production,"['Engineering', 'Leadership', 'Manufacturing', 'Mechanical Engineering', 'Production', 'Skills']"
Fleet Manager,Full Time,On-site,packtec,"6th of October, Giza",Posted 23 days ago,131,1 open position,More Than 10 Years,Manager,Bachelor'S Degree,Male,Administration,"['Administration', 'facilities', 'facilities management', 'Leadership', 'Microsoft Office', 'Fleet', 'Fleet Management', 'Industry']"
Contact Center Agent (Fluent English Speakers),Full Time,On-site,London International Patient Services,"Sheraton, Cairo",Posted 10 days ago,8,3 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,"['Communication', 'Call Center', 'Communication skills', 'Customer', 'Customer Care', 'Customer Service', 'Customer Support', 'Contact Center', 'MS Office', 'Service', 'Skills', 'MS']"
Sales engineer,Full Time,On-site,Multiple,"New Cairo, Cairo",Posted 20 days ago,17,2 open positions,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Sales/Retail,"['Sales engineer', 'Sales', 'Engineering', 'engineer', 'sales skills', 'Sales Target', 'Presentation', 'Communication']"
Sales Representative,Full Time,On-site,,"Cairo, Egypt",Posted 24 days ago,6,4 open positions,0 To 6 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Business Development,"['Communication', 'Sales', 'Negotiation', 'Management', 'English', 'Customer Service', 'Food & Beverage']"
Sales Representative,Full Time,On-site,,"Cairo, Egypt",Posted 11 days ago,6,15 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commission",Sales/Retail,"['Sales', 'Microsoft Excel', 'Computer Skills', 'Communication', 'Communication skills', 'Customer Service', 'sales skills', 'Sales Target']"
CFO,Full Time,On-site,Segment interior design,"Sheraton, Cairo",Posted 24 days ago,70,1 open position,7 To 9 Years,Experienced (Non-Manager),Not Specified,15000 To 20000 EGP Per Month,Accounting/Finance,"['Accounting', 'CFO', 'Corporate', 'Finance', 'Financial Analysis', 'Financial Management', 'Management', 'Financial', 'Risk Management', 'MBA', 'Data Analysis', 'MS Office']"
Office Manager and CEO assistant,Full Time,On-site,Nano Shield,"Sheikh Zayed, Giza",Posted 2 months ago,143,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['Administration', 'administrative', 'Business Administration', 'Communication', 'Communication skills', 'office', 'Office management']"
Production Engineer,Full Time,On-site,Outservingplus,"Cairo, Egypt",Posted 10 days ago,129,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,"['AutoCAD', 'Design', 'Engineering', 'Manufacturing', 'Mechanical Engineering', 'Microsoft Office', 'Planning', 'Production', 'quality', 'Quality Control', 'Six Sigma']"
Project Sales Engineer,Full Time,On-site,GLC Paints,"Obour City, Cairo",Posted 20 days ago,18,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Communication', 'Construction', 'Development', 'Engineering', 'Presentation', 'Project Management', 'Sales', 'sales skills', 'technical']"
Learning Design,Full Time,On-site,Plugin Talents,"Maadi, Cairo",Posted 26 days ago,26,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Design', 'Instructional Design', 'Education']"
Real Estate Advisor,Full Time,On-site,,"6th of October, Giza",Posted 1 month ago,10,15 open positions,1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,"['Sales', 'Real Estate', 'Advisor', 'Negotiation', 'sales skills', 'Sales Target', 'Real Estate Agent', 'Communication']"
Front Desk,Full Time,On-site,Apleona Egypt,"Cairo, Egypt",Posted 1 month ago,39,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,"['assistant', 'secretary', 'Reception']"
English Correspondent,Full Time,On-site,,"Bab Sharq, Alexandria",Posted 11 days ago,5,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Other,"['Business Correspondances', 'Marine', 'Maritime Transport', 'Shipping', 'Administration']"
Performance Marketing Manager,Full Time,On-site,ECC Group,"Nasr City, Cairo",Posted 3 days ago,13,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Marketing/PR/Advertising,"['Marketing', 'Performance', 'Market Research', 'Management', 'Digital', 'Campaign', 'Analysis', 'Social Media']"
Data Management Specialist,Full Time,On-site,ECC Group,"Nasr City, Cairo",Posted 6 days ago,17,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,"['Administration', 'Communication', 'CRM', 'Data', 'Data Management', 'Digital Marketing', 'Management', 'Microsoft Excel', 'Microsoft Office', 'Operations', 'Skills', 'Odoo']"
Factory Manager,Full Time,On-site,,"Maadi, Cairo",Posted 2 months ago,328,1 open position,10 To 15 Years,Manager,Not Specified,Confidential,Operations/Management,"['Management', 'Microsoft Office', 'Engineering', 'Communication skills', 'Project Management', 'Production', 'Manufacturing']"
Senior Dot Net Developer,Full Time,On-site,Union Coop,"Dokki, Giza",Posted 11 days ago,33,1 open position,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['.Net', 'ASP.Net', 'Software', 'Software Development', 'SQL', 'MVC']"
Garment Technologist,Full Time,On-site,LC Waikiki,"Katameya, Cairo",Posted 2 months ago,46,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Manufacturing/Production,"['garment', 'Production', 'Textiles', 'Fashion', 'Microsoft Office']"
Account Manager,Full Time,On-site,ACADIO agency,"New Cairo, Cairo",Posted 11 days ago,56,1 open position,0 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['account manager', 'Account Management', 'business', 'Communication', 'Customer Service', 'Management', 'Business Administration', 'CRM', 'Sales', 'Sales Target', 'sales skills']"
Junior Mechanical Procurement Engineer,Full Time,On-site,Modern Controls,"Giza, Egypt",Posted 16 days ago,61,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['procurement engineer', 'Mechanical procurement']"
Sales Representative,Full Time,On-site,SAFESCIENCE,"Maadi, Cairo",Posted 21 days ago,5,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Customer Service/Support,"['Sales representative', 'Vendor Registration', 'Technical Sales', 'Negotiation', 'Customer Service', 'Sales Target', 'Sales', 'sales skills', 'negotiation skills', 'MS Office', 'CRM']"
Cashier,Full Time,On-site,New Magafy,"Dokki, Giza",Posted 1 month ago,38,4 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,5000 To 6000 EGP Per Month,Accounting/Finance,"['Accounting', 'Cashier', 'Finance', 'Retail']"
Sales Specialest,Full Time,On-site,,"Nasr City, Cairo",Posted 1 month ago,9,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,"['Sales', 'Executive', 'Sales Executive', 'Sales Target', 'sales skills', 'Customer Service']"
Specification Engineer,Full Time,On-site,Egybrit,"Heliopolis, Cairo",Posted 2 months ago,13,2 open positions,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Discuss product solution', 'trusted relationship with consultance', 'maintain a database', 'build design and construction', 'work closely with technical team', 'maintain record and prepare tasks', 'technical information', 'technical sales']"
Tour Operator,Full Time,On-site,thebestours int.,"Maadi, Cairo",Posted 13 days ago,25,2 open positions,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions & Bonus",Marketing/PR/Advertising,"['Outbound', 'Tourism', 'Hospitality', 'Tour', 'Operations', 'sales skills', 'domestic', 'incoming', 'Tour operator', 'Travel Planning', 'Travel', 'Hotels', 'Sales']"
Sales Representative,Full Time,On-site,,"Haram, Giza",Posted 2 months ago,6,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Marketing', 'Sales', 'Communication skills', 'sales skills', 'Sales Target']"
Technology manager,Full Time,Hybrid,CULTURE HAUS,"Giza, Giza",Posted 2 months ago,56,2 open positions,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Information Technology (IT)', 'Technology', 'Project Management']"
Senior Accountant - REMOTE - Hurghada Residents,Full Time,Remote,Boston Federal Financial,"Hurghada, Red Sea",Posted 2 months ago,130,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Monthly Bonus + Medical Insurance Salary Based On Experience",Accounting/Finance,"['Accounting Software', 'CMA', 'CPA', 'excel', 'Accounting', 'Financial Analysis', 'Financial', 'GAAP', 'General Ledger', 'business', 'Finance', 'Financial Management']"
Electromechanical Senior Engineer (DataCenter Solutions),Full Time,On-site,ISST-FIBER OCEAN,"Maadi, Cairo",Posted 3 days ago,30,2 open positions,7 To 12 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Manufacturing/Production,"['Telecommunications', 'data center design', 'infrastructure system', 'AutoCAD', 'Uptime Institute', 'Design', 'Electromechanical Engineering', 'Datacenter', 'Data Center', 'Energy Engineering', 'PMP', 'LEED', 'Senior Engineer', 'DataCenter Solutions', 'Engineering', 'Uptime ATD', 'Data center containment solutions', '', '', '', '', '', '', '', '']"
Spare Parts Warehouse Head,Full Time,On-site,Cairo Three A for Stevedoring,"Damietta, Damietta",Posted 22 days ago,21,1 open position,More Than 5 Years,Manager,Bachelor'S Degree,Male,Administration,"['Spare Parts', 'Warehouse Management', 'Administration', 'Warehousing', 'Warehouse', 'Business Administration']"
AI Developer (Python),Full Time,On-site,Ultimate Solutions Egypt,"Sheikh Zayed, Giza",Posted 11 days ago,540,1 open position,2 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['AI', 'AWS', 'Azure', 'Computer Science', 'Data Science', 'Git', 'Information Technology (IT)', 'Machine Learning', 'Programming', 'Python', 'Software Development', 'SQL']"
Dispatch Coordinator,Full Time,Remote,Transportation Is - Us,"Rancho Cucamonga, United States",Posted 20 days ago,84,3 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,"['Operations', 'Call Center', 'dispatcher', 'English', 'Fleet', 'Logistics', 'MS Office']"
1- Design engineer for poles,Full Time,On-site,,"Maadi, Cairo",Posted 3 days ago,Be the First to Apply,,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Other,"['Design', 'Engineering', 'Software']"
Steel Structure Design Office Engineer,Full Time,On-site,,"Alexandria, Egypt",Posted 23 days ago,5,1 open position,3 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Civil Engineering', 'STAAD', 'Steel', 'Steel Structure', 'Structure', 'Tekla', 'Civil', 'Design', 'Analysis', 'Engineering', 'SAP2000']"
"Procurement Engineer ""Mechanical Eng,""",Full Time,On-site,ICON Holding,"Helwan, Cairo",Posted 10 days ago,17,1 open position,3 To 4 Years,Experienced (Non-Manager),Not Specified,"Confidential, Annual Profit Share",Engineering - Construction/Civil/Architecture,"['application software', 'Communication', 'Engineering', 'Mechanical', 'Mechanical Engineering', 'Microsoft Office', 'Negotiation', 'Planning', 'Procurement', 'Purchasing', 'Software', 'Procurement engineer', 'Procurements', 'Procurement Management', 'Foreign Procurement']"
Legal Consultant,Full Time,On-site,El Alsson British & American International School,"6th of October, Giza",Posted 9 days ago,133,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,"['Legal', 'Law', 'Legal Consultant', 'Corporate Law']"
Tendering Estimation Engineer - Electrical,Full Time,On-site,Atwar Al Kon,"Mokattam, Cairo",Posted 12 days ago,18,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Females Preferred,Engineering - Mechanical/Electrical,"['Electrical Engineering', 'Electrical', 'Project Estimation', 'Tendering', 'Construction']"
