Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Media Buyer,Full Time,On-site,DARI,"New Cairo, Cairo",Posted 1 month ago,15,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,15000 To 20000 EGP Per Month,Marketing/PR/Advertising,"['Digital Marketing', 'digital marketing', 'Marketing', 'Media Buyer', 'Social Media', 'SEO', 'Google Ads', 'Online Ads', 'Facebook ads', 'Budgeting', 'Budget Management', 'A/B Testing', 'Advertising', 'Buyer', 'Communication', 'comscore', 'Digital', 'digital media', 'media', 'Planning']"
Customer Accounts Manager (Freight Forwarding),Full Time,On-site,Alexandria Trading and Engineering Bureau,"Sidi Gaber, Alexandria",Posted 1 month ago,64,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Quarter Bonus, Private Medical Insurance",Customer Service/Support,"['Logistics', 'Management', 'MS Office', 'Customer Service', 'Customer Support', 'Leadership', 'Planning', 'CRM', 'Communication', 'Computer Skills', 'Communication skills']"
IT Technical Support,Full Time,On-site,La Poire,"Basatin, Cairo",Posted 1 month ago,191,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,"['Installation', 'Technical Support', 'Information Technology (IT)', 'Computer Science', 'Windows', 'IT', 'Linux', 'technical']"
Localization Section Head,Full Time,On-site,Kasrawy Group,"Abu Rawash, Giza",Posted 1 month ago,27,1 open position,10 To 15 Years,Experienced (Non-Manager),Not Specified,"Confidential, Medical Insurance - Life Insurance - Incentive Monthly - Profit Share - Reward Of Occasions - Transportation",Quality,"['Automotive', 'Analysis', 'Engineering', 'Industrial', 'Mechanical Engineering', 'Localization', 'Cost', 'Quality Management']"
Quality Control Engineer,Full Time,On-site,Egyptian Engineering Industries,"Abu Rawash, Giza",Posted 4 days ago,68,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Transportation, Social Insurance",Manufacturing/Production,"['Engineering', 'Industrial', 'Industrial Engineering', 'ISO 9001', 'Manufacturing', 'Metal', 'Production', 'quality', 'Sheet Metal', 'Quality Management', 'Six Sigma', 'Quality Control', 'Mechanical Engineering']"
SR. Outbound Hotel Reservation Agent (Africa Focus),Full Time,On-site,BCD-EWT,"Heliopolis, Cairo",Posted 17 days ago,14,2 open positions,7 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Communication skills', 'Booking', 'Customer Support', 'hotel', 'hotel reservations', 'Outbound', 'Tourism', 'Customer Care', 'Customer Service', 'Reservation', 'reservations', 'Travel']"
Quality Control Section Head,Full Time,On-site,Al-Amal Al-sharif For Plastic,"10th of Ramadan City, Cairo",Posted 2 months ago,105,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Manufacturing/Production,"['industrial engineering', 'Engineering', 'Control', 'quality', 'Quality Control', 'Manufacturing Industry', 'Manufacturing Process', 'Manufacturing', 'Mechanical Engineering', 'Chemical Engineering', 'Chemical Analysis']"
Telesales Representative,Full Time,On-site,Module,"Giza, Egypt",Posted 26 days ago,9,1 open position,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Customer Service/Support,"['Communication', 'Microsoft Office', 'Sales', 'sales skills', 'Skills', 'Software', 'Telesales', 'Training', 'Customer Service', 'CRM']"
Senior Marketing Performance Specialist,Full Time,On-site,Homix,"Maadi, Cairo",Posted 1 month ago,6,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Marketing', 'buying', 'Buyer', 'Digital Marketing', 'digital media', 'Media Buyer', 'Social Media', 'Planning', 'Google Analytics', 'E-Marketing', 'digital marketing', 'Communication', 'Analysis', 'Performance', 'Performance Marketing', 'SEM', 'SEO', 'Management']"
Property Consultant – Zayed Branch,Full Time,On-site,Maalem-Group,"Cairo, Egypt",Posted 11 days ago,6,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,"['CRM', 'Real Estate', 'Real Estate Sales', 'sales skills', 'Sales Target', 'Sales', 'Communication']"
Sales Key Account Manager,Full Time,On-site,Union Group,"Obour City, Cairo",Posted 2 months ago,95,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Medical Insurance , Profit Share",Customer Service/Support,"['Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Negotiation', 'English', 'Communication', 'Microsoft Office', 'Negotiation Skills', 'Management', 'Skills', 'Industry']"
HVAC Engineer,Full Time,On-site,Zewail City,"6th of October, Giza",Posted 2 months ago,16,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Confidential, Point Based Transportation + Medical & Social Insurance",Engineering - Mechanical/Electrical,"['Electrical', 'Electrical Engineering', 'HVAC', 'Engineering']"
Secretary,Full Time,On-site,Shabana Group,"Nasr City, Cairo",Posted 2 months ago,72,1 open position,3 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,"['Administration', 'administrative', 'Assistant', 'Communication', 'Communication skills', 'excel', 'Microsoft Office', 'office', 'Office management', 'Secretary', 'word', 'Management']"
General Accountant,Full Time,On-site,,"Damanhour, Beheira",Posted 17 days ago,33,1 open position,1 To 6 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['Accounting', 'Finance', 'excel', 'Accounting Software', 'CPA', 'Financial Analysis', 'Financial Management', 'GAAP', 'General Ledger', 'MS', 'Software', 'CMA']"
Consultant Dermatologists - Saudi Arabia,Full Time,dermatology,Head Medical,"Riyadh, Saudi Arabia",Posted 2 days ago,Be the First to Apply,,Not Specified,Not Specified,Not Specified,Confidential,Medical/Healthcare,"['dermatology', 'medical', 'healthcare', 'medicine', 'hospital']"
Female Sales Representative – Corporate Sales (Ticketing & Tourism Agency),Full Time,On-site,,"Riyadh, Saudi Arabia",Posted 24 days ago,10,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,"['sales', 'Female', 'Sales Representative', 'Ticketing', 'Tourism Agency']"
Motion Graphics Designer,Full Time,On-site,El Mansour Development,"Mokattam, Cairo",Posted 9 days ago,28,1 open position,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Design', 'Designer', 'Editing', 'Graphic', 'Graphic Design', 'graphic designer', 'photoshop', 'Real Estate', 'Software', 'adobe', 'Adobe illustrator', 'Adobe Photoshop']"
Senior Employee Experience Specialist,Full Time,On-site,Carina Wear,"New Cairo, Cairo",Posted 1 month ago,48,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Human Resources,"['Communication skills', 'Employee Relations', 'HR', 'Human Resources (HR)', 'Microsoft Office', 'Recruitment', 'Retail', 'HR Operations', 'Employee Retention', 'Exit Interviews', 'Employee Feedback', 'Employee Satisfaction', 'Turnover Analysis', 'Workplace Culture', 'Employee Surveys', 'HR Policies', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Senior NET Developer,Full Time,On-site,El-Amir Group,"Nozha, Cairo",Posted 2 days ago,10,10 open positions,4 To 5 Years,Experienced (Non-Manager),Not Specified,10000 To 12000 EGP Per Month,IT/Software Development,"['.Net', '.net Developer', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'Software Engineering', 'senior', 'NET', 'developer', 'ASP.Net', 'Android Application Development']"
Secretary,Full Time,On-site,Pharco Food,"10th of Ramadan City, Sharqia",Posted 1 month ago,40,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,"['Administration', 'administrative', 'Communication', 'Management', 'Microsoft Office', 'MS', 'MS Office', 'office', 'Office management', 'Secretary', 'Time Management']"
Plastic Production Engineer - Blowing Machines,Full Time,On-site,,"Giza, Egypt",Posted 2 months ago,101,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Installation/Maintenance/Repair,"['Engineering', 'Production', 'Mechanical Engineering', 'Plastic', 'Chemistry', 'Industrial', 'Electricity', 'Maintenance', 'Electrical Engineering', 'English', 'Machines']"
Customer Support Agent – Vodafone UK Alex Smouha,Full Time,Hybrid,VOIS Egypt,"Alexandria, Egypt",Posted 5 days ago,8,20 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Internet Allowance Device And Headset Will Be Provided Profit Share",Customer Service/Support,"['Call Center', 'Customer Service', 'Customer Care', 'Customer Support', 'English', 'Communication skills', 'Call Centre', 'Communication', 'voda', 'vodafone UK', 'VOIS', 'UK', 'Vodafone', 'remote job', 'work from home', 'Technical Support', 'Skills', 'Hybrid job', 'hybrid vacancy', 'Vodafone Ireland', 'VF IE', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Event Activation Specialist,Full Time,On-site,OPPO Egypt,"Nasr City, Cairo",Posted 1 month ago,52,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Active Directory', 'Computer Science', 'Digital Marketing', 'digital marketing', 'English', 'Event Planning', 'Events', 'Marketing', 'Social Media', 'Planning', 'media']"
Engineering Technical Office Manger,Full Time,On-site,PEG,"New Nozha, Cairo",Posted 2 months ago,68,1 open position,9 To 10 Years,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Engineering - Construction/Civil/Architecture,"['Manager', 'Microsoft Office', 'Administration', 'Office management', 'Office manager', 'technical', 'Technical Office', 'Technical Office Manager']"
Export Logistics Specialist,Full Time,On-site,,"Obour City, Cairo",Posted 1 month ago,84,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Logistics', 'Supply Chain', 'Export']"
Dental Student or Doctor Consultant for Import/Export Business,Full Time,Hybrid,Art By Ai Company,"Dubai, United Arab Emirates",Posted 24 days ago,94,1 open position,More Than 1 Year,Experienced (Non-Manager),Not Specified,Confidential,Medical/Healthcare,"['Dental', 'Dentistry', 'Dental Care', 'Health Care', 'Pediatric Dentistry']"
Senior Logistics Specialist,Full Time,On-site,Nature's Rule Egypt LLC,"New Cairo, Cairo",Posted 1 month ago,202,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Logistics', 'Supply Chain', 'Export', 'Communication', 'Communication skills', 'Customs', 'International Trade', 'Supply', 'supply chain management', 'Sales']"
Electro-mechanical Engineer,Full Time,On-site,Eamar Al Delta,"Tanta, Gharbia",Posted 2 months ago,9,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Quality Control', 'Engineering']"
"Associate Manager, IT Project Management",Full Time,On-site,ESLSCA University,"6th of October, Giza",Posted 1 month ago,181,1 open position,8 To 10 Years,Manager,Not Specified,Confidential,IT/Software Development,"['Information Management', 'IT']"
Social Media Specialist,Full Time,Remote,Remote,"Cairo, Egypt",Posted 28 days ago,185,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,6000 To 12000 EGP Per Month,Writing/Editorial,"['Communication', 'Social Media', 'Online Marketing', 'digital media', 'E-Marketing', 'Editing', 'Marketing', 'Web Design', 'Writing', 'Digital']"
Pharmaceutical Quality Assurance Senior Specialist,Full Time,On-site,Pharmaceutical Egyptian Association,"Heliopolis, Cairo",Posted 10 days ago,60,3 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,R&D/Science,"['Analysis', 'Pharmaceutical', 'Quality Assurance']"
Technical Support Engineer- Obour City,Full Time,On-site,ALJ AutoJameel,"Obour City, Cairo",Posted 2 months ago,38,1 open position,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,"['Automotive', 'Problem-Solving', 'Attention to Detail', 'Mechanical Engineering', 'Mechanical', 'Engineering', 'Communication', 'Repair', 'Customer Support', 'Maintenance', 'Workshop', 'technical', 'Support', 'Technical Support', 'Electrical', 'Troubleshooting', 'Workshops']"
Senior Site Engineer,Full Time,On-site,A-Squared,"New Cairo, Cairo",Posted 2 months ago,177,3 open positions,4 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Civil Engineering', 'Architecture', 'Project Management', 'Site Engineer', 'Site', 'senior', 'Engineering', 'engineer', 'Civil', 'Arch']"
Order Taker/Customer Service Agent,Full Time,Hybrid,,"6th of October, Giza",Posted 2 months ago,55,50 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Profit Share And Bonus",Customer Service/Support,"['Call Center', 'Customer Care', 'Customer Service', 'Customer Support', 'Communication', 'English', 'MS', 'MS Office', 'Skills', 'Customer']"
Merchandiser,Full Time,On-site,Giza Spinning and Weaving,"Kerdasa, Giza",Posted 1 month ago,13,2 open positions,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,"['Manufacturing', 'Retail', 'Merchandising', 'sales skills', 'Textiles']"
Talent Acquisition Officer,Full Time,On-site,GlobeMed Egypt,"Maadi, Cairo",Posted 1 month ago,110,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Social & Medical Insurance",Administration,"['Talent Acquisition', 'Talent', 'Recruitment', 'Communication Skills', 'Human Resources (HR)', 'Interviewing', 'Human Resources', 'Computer Skills', 'Microsoft Office', 'English', 'Mass Hiring', 'HR', 'Hiring', 'Communication', 'Applicant Tracking Systems', 'Applicant Tracking', 'human resources management', '']"
Senior Purchasing Specialist,Full Time,On-site,Rameda,"New Cairo, Cairo",Posted 2 months ago,168,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,"['Supply Chain', 'Purchasing', 'Procurement', 'Communication skills', 'Food', 'Pharmaceutical', 'English']"
Senior Sales Engineer,Full Time,On-site,Comex Egypt,"Sheikh Zayed, Giza",Posted 13 days ago,16,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['Communication skills', 'Engineering', 'English', 'Electrical', 'technical', 'Sales', 'Skills', 'Marketing Strategy', 'Communication', 'Mechanical', 'Mechatronics', 'Project Planning', 'Business Analysis']"
Accounting Intern,Internship,On-site,ARPUPLUS,"Giza, Egypt",Posted 2 months ago,192,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,"Paid, Bonus",Accounting/Finance,"['Accounting', 'Commerce']"
Mechanical Design Team leader - Plumbing and Firefighting,Full Time,On-site,Cosmos,"Sheraton, Cairo",Posted 4 days ago,5,2 open positions,8 To 15 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['Mechanical Engineering', 'AutoCAD', 'Communication skills', 'Revit MEP']"
Customer Service Administrator,Full Time,Remote,Technology Core,"Leicester, United Kingdom",Posted 1 month ago,248,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 12000 GBP Per Month,Customer Service/Support,"['Customer Care', 'Communication skills', 'Customer Support', 'E-Commerce', 'Customer Service', 'Communication', 'Customer', 'Service', 'Management']"
Senior Mechanical Site Engineer,Full Time,On-site,Tameer,"Nasr City, Cairo",Posted 16 days ago,44,1 open position,3 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['Manufacturing', 'Mechanical Engineering', 'Engineering', 'Management', 'Mechanical', 'Electrical Engineering', '3D', 'Design', 'AutoCAD', 'HVAC']"
Automotive Sales Representative,Full Time,On-site,9 star For Car Trading,"Nasr City, Cairo",Posted 1 month ago,36,10 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Basic Salary + Attractive Commission",Sales/Retail,"['Communication', 'Automotive', 'Communication skills', 'Customer Service', 'Indoor Sales', 'Management', 'Negotiation', 'sales skills', 'Sales', 'Sales Target', 'Selling', 'Skills', 'Telesales']"
Administrative Assistant,Part Time,Remote,CK Construction Consultants,"Cairo, Egypt",Posted 1 month ago,284,1 open position,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,600 To 800 CAD Per Month,Administration,"['Administration', 'Coordination', 'Construction', 'Communication', 'Office management', 'Management', 'Microsoft Office', 'Filing', 'Secretary']"
Talent Acquisition Specialist,Full Time,On-site,Etisal EG,"New Cairo, Cairo",Posted 24 days ago,128,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['Communication', 'HR Certificate', 'Human Resources (HR)', 'Interviewing', 'Management', 'Recruitment', 'Talent acquisition', 'Employee Relations', 'Communication skills', 'HR', 'Human Resources Development', 'Human Resources', 'Computer Skills', 'English']"
Quality Assurance & Systems Section Head,Full Time,On-site,GB Corp,"Abu Rawash, Giza",Posted 2 months ago,90,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,"['LEAN', 'Lean Six Sigma', 'Engineering', 'Quality Control', 'Quality Assurance', 'Six Sigma', 'quality', 'manficaturing', 'Automotive Maintenance']"
HR Specialist,Full Time,On-site,,"New Cairo, Cairo",Posted 1 month ago,75,2 open positions,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Human Resources,"['Communication', 'HR Specialist', 'HRIS', 'HR', 'Human Resources', 'Human Resources (HR)', 'Recruitment', 'Personnel', 'Payroll', 'Microsoft Office', 'Management', 'Labor']"
MIS Analyst,Full Time,On-site,FlexFilms Egypt,"6th of October, Giza",Posted 3 days ago,176,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['Analyst', 'Accounting', 'MIS']"
Furniture Production Engineer,Full Time,On-site,Khaled El Halafawi Furniture,"Obour City, Cairo",Posted 2 months ago,35,2 open positions,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Manufacturing/Production,"['Furniture', 'Manufacturing', 'Design', 'Production', 'quality', 'AutoCAD', 'ERP', 'Production Management', 'Engineering']"
Full Stack Developer,Full Time,Hybrid,Digital Plus Technology,"Cairo, Egypt",Posted 21 days ago,45,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Development', 'front-end', 'CSS3', 'HTML5', 'JavaScript', 'Software Development', 'Web Development', 'Git', 'Bootstrap', 'Computer Science', 'Lamp Stack', 'RESTful API', 'Information Technology (IT)', 'Python', 'Software', 'Software Engineering']"
Senior HR Specialist,Full Time,On-site,Midea Group,"Alsadat City, Monufya",Posted 11 days ago,80,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['Labor Law', 'English', 'Human Resources', 'Human Resources (HR)', 'HR', 'Microsoft Office', 'Personnel', 'Payroll', 'Problem Solving', 'Detail Oriented', 'Time Management', 'Social Insurance', 'Social Insurance Law', 'Tax Reconciliation']"
Finance & Accounting Manager,Full Time,On-site,,"Baltim, Kafr Alsheikh",Posted 21 days ago,49,1 open position,3 To 7 Years,Manager,Bachelor'S Degree,Confidential,Accounting/Finance,"['Accounting Software', 'Accounting', 'Banking', 'excel', 'CPA', 'Finance', 'Financial Analysis', 'Financial Management', 'SAP', 'Tax', 'Financial']"
Senior Cost / Commercial Engineer,Full Time,On-site,TECTRA,"Sheikh Zayed, Giza",Posted 2 months ago,52,1 open position,7 To 10 Years,Manager,Not Specified,"Confidential, Competitive Salary And Benefits Package.",Engineering - Construction/Civil/Architecture,"['Civil Engineering', 'Construction', 'Cost', 'Cost Estimation', 'Project Management']"
Planning Engineer,Full Time,Remote,TRAVCO GROUP,"Sheikh Zayed, Giza",Posted 11 days ago,78,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil', 'MS Office', 'Planning', 'Primavera', 'Engineering', 'office', 'Primavera P6']"
Human Resources Manager,Full Time,On-site,CosmoCare Group,"10th of Ramadan City, Sharqia",Posted 18 days ago,226,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,Confidential,Human Resources,"['Human Resources (HR)', 'HR', 'hr management', 'Recruitment', 'Personnel', 'Payroll', 'Administration', 'Business Administration', 'Employee Engagement', 'HR Policies', 'Odoo ERP', 'Performance Management System', 'Strategic Thinking', 'Learning Management System', '', '', '']"
Sales Agent,Full Time,On-site,Kids hub,"New Cairo, Cairo",Posted 2 months ago,43,2 open positions,0 To 16 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Bonus On Sales",Sales/Retail,"['Customer Service', 'Sales', 'Retail', 'excel', 'sales skills', 'Sales Target']"
Technical Office Engineer -Architecture,Full Time,Remote,MIRAD,"6th of October, Giza",Posted 2 months ago,102,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Architecture', 'Auto cad', 'CAD', 'Drawings', 'Microsoft Office', 'technical']"
Online Operation,Full Time,On-site,Smile Holidays Wholesalers,"Heliopolis, Cairo",Posted 12 days ago,189,6 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"10000 To 25000 EGP Per Month, Salaries Are Negotiable.",Customer Service/Support,"['B2B', 'Operations', 'Tourism', 'Travel', 'Customer Service', 'English', 'Microsoft Office', 'Communication']"
Accountant,Full Time,On-site,Domain,"Nasr City, Cairo",Posted 20 days ago,170,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Females Preferred,Accounting/Finance,"['Finance', 'Communication skills', 'excel', 'Financial Analysis', 'Microsoft Office', 'Accounting']"
Marketing Specialist,Full Time,On-site,Smart Direction,"Mokattam, Cairo",Posted 2 months ago,34,2 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Marketing/PR/Advertising,"['Home appliances', 'Sales representative', 'Sales', 'sales skills', 'Customer Service', 'Sales Target', 'Indoor Sales', 'Communication skills', 'Experience', 'Selling', 'Communication']"
Treasury Accountant,Full Time,On-site,realme,"Nasr City, Cairo",Posted 1 month ago,153,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,Female,Accounting/Finance,"['Accounting', 'Finance', 'Financial Management', 'Financial Analysis', 'Treasury', 'Commerce', 'Microsoft Office', 'Banking', 'English', 'MS Office', 'Computer Skills']"
Senior Talent Acquisition Specialist (Healthcare),Full Time,On-site,Cairoscan,"Mohandessin, Giza",Posted 10 days ago,62,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,"['Human Resources', 'Talent', 'Recruitment', 'Recruiting', 'Talent acquisition', 'Interviewing', 'Human Resources (HR)', 'Management', 'human resources management', 'Applicant Tracking Systems']"
Merchandiser,Full Time,On-site,B.TECH,"Nasr City, Cairo",Posted 1 month ago,11,1 open position,2 To 4 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Sales/Retail,"['Merchandising', 'Sales', 'sales skills', 'Retail']"
Call Center Specialist - Fluent in English,Full Time,Hybrid,VOIS Egypt,"Cairo, Egypt",Posted 10 days ago,7,51 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),High School (Or Equivalent),Confidential,Customer Service/Support,"['Customer Care', 'Customer Support', 'Sales', 'Call Center', 'Contact Center', 'work from home', 'Fluent in English', 'English', 'WFH', 'vodafone', 'remote', 'Communication', 'c1', '_VOIS', 'Customer Service', 'Communication skills']"
Project Manager Skills Expert Project,Full Time,On-site,The German-Arab Chamber of Industry and Commerce,"Giza, Egypt",Posted 24 days ago,30,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Project/Program Management,"['Project Management', 'German Language', 'Budgeting']"
HR/Legal Analyst,Full Time,On-site,Guillam,"San Stefano, Alexandria",Posted 12 days ago,45,1 open position,1 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['English Translation', 'Human Resources (HR)', 'Human Resources', 'Human Resource Management (HRM)', 'Human Resource Information System', 'Human Capital Management', 'Legal Documents', 'Legal Services', 'Legal Management', 'Legal Drafting', 'Legal Consulting', 'Communication skills', 'HR', 'Legal', '', '', '']"
Senior Food Safety,Full Time,On-site,Saudi German Hospital,"Agami, Alexandria",Posted 19 days ago,52,2 open positions,More Than 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,"['Food', 'food safety', 'Safety']"
Mechanical Maintenance Engineer,Full Time,On-site,PET for Packaging,"10th of Ramadan City, Sharqia",Posted 2 months ago,62,4 open positions,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Manufacturing/Production,"['Mechanical Engineering', 'Mechanical']"
English Instructors - Maadi Branch,Full Time,Hybrid,SYE English Community,"Maadi, Cairo",Posted 23 days ago,6,4 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Education/Teaching,"['Teaching', 'English Teaching', 'Professional Teaching Certificate', 'Teaching Certificate', 'Interpersonal skills', 'Instructor', 'Education', 'TEFL', 'English Instructing', 'Planning', 'Training']"
Retail Operations Manager,Full Time,On-site,Bakier,"Maadi, Cairo",Posted 1 month ago,169,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,Confidential,Customer Service/Support,"['Management', 'Operations', 'Retail', 'Sales']"
Junior Accountant,Full Time,On-site,Tamweely,"Downtown, Cairo",Posted 1 month ago,418,3 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['Accounting', 'Finance', 'Financial Analysis', 'Treasury', 'Cash', 'Cash Flow', 'Cash forecasting', 'payment', 'Communication skills']"
Fluent Sales Agent,Full Time,On-site,Megatrade Misr,"Maadi, Cairo",Posted 2 months ago,6,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Business Development,"['Sales', 'sales skills', 'Customer Service', 'Experience', 'Management', 'Sales Target']"
Graphic Designer - O&G Technologies,Full Time,Graphic Design,Saudi Aramco,"Riyadh, Saudi Arabia",Posted 2 days ago,7,1 open position,Not Specified,Not Specified,Not Specified,Confidential,Creative/Design/Art,"['Graphic Design', 'Adobe Photoshop', 'Design', 'Adobe Illustrator', 'Adobe Indesign', 'Marketing', 'Social Media', 'Media', 'Fine Arts', 'Adobe After Effects', 'Creative', 'Photoshop', 'Illustrator', 'Web Design', 'E-marketing', 'Advertising', 'Information Technology (IT)', 'Applied Arts', 'Graphic', '']"
Sales Marketing Executive,Full Time,On-site,Depo web,"Mokattam, Cairo",Posted 9 days ago,10,5 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"7000 To 10000 EGP Per Month, 5%",Business Development,"['Sales', 'Software', 'Software Sales', 'Sales Target', 'Development', 'Marketing', 'Negotiation', 'negotiation skills', 'sales skills']"
sales Out-Door,Full Time,On-site,Shabana Group,"Nasr City, Cairo",Posted 2 months ago,19,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Sales/Retail,"['Outdoor Sales', 'Products', 'sales skills', 'Sales Target', 'Sales', 'Experience', 'Communication', 'Customer', 'Negotiation', 'Representative', 'Sales representative']"
Project Manager - Civil,Full Time,On-site,Experts,"North Coast, Alexandria",Posted 6 days ago,59,1 open position,15 To 20 Years,Manager,Bachelor'S Degree,"Confidential, Medical Insurance , Accommodation , Transportation , Incentive",Engineering - Construction/Civil/Architecture,"['Civil Engineering', 'Construction', 'Management', 'Project Management', 'Engineering', 'AutoCAD', 'BIM Modeling', 'infrastucture', 'Primavera']"
