Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country
(Customs Clearance - Expeditor) officer - 6 Months Contract,Full Time,on-site,Sukari Gold Mines,"Alexandria, Egypt",28,56,4,Experienced (Non-Manager),Not Specified,19000 To 19000 EGP Per Month,Accounting/Finance,"['customer', 'brokerage', 'customer support', 'import', 'export', 'shipping']",both,901,1,3,Alexandria, Egypt
1) Accountant - 2) internal Auditor -3) Cost Accountant - 4) Financial Accountant,Full Time,on-site,Green Foods,"Sheraton, Cairo",28,342,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'auditing', 'finance', 'accounts receivable']",both,901,2,4,Sheraton, Cairo
A Credit Control/Accounts Receivable,Full Time,on-site,Alupco Aluminum Products,"Nasr City, Cairo",28,63,1,Experienced (Non-Manager),Not Specified,20000 To 25000 SAR Per Month,Accounting/Finance,"['accounting', 'accounts', 'accounts receivable', 'credit']",both,901,2,3,Nasr City, Cairo
A/P Accountant,Full Time,on-site,Groupe- Atlantic,"10th of Ramadan City, Cairo",28,93,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce', 'ap', 'finance', 'ms']",both,901,2,4,10th of Ramadan City, Cairo
A/P Accountant,Full Time,on-site,New Mena Plast,"Obour City, Cairo",18,92,1,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Accounting/Finance,"['accountant', 'accounting', 'ap', 'a/p', 'finance']",both,901,2,5,Obour City, Cairo
A/R accountant,Full Time,on-site,sofipack,"Badr City, Cairo",56,89,2,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Confidential",Accounting/Finance,"['ar', 'accounting']",both,901,6,9,Badr City, Cairo
AP Accountant,Full Time,on-site,WUZZUF,"Maadi, Cairo",24,184,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'treasury', 'treasury accounting', 'ap', 'accounts payable', 'excel']",both,901,1,3,Maadi, Cairo
AP Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",56,97,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'finance', 'financial analysis', 'vendor', 'ap', 'gl', 'erp system', 'enterprise resource planning', 'excel', 'microsoft', 'sap', 'communication', 'english']",both,901,2,3,6th of October, Giza
AP Accountant,Full Time,on-site,LEEDS FIT-OUT,"Sheikh Zayed, Giza",56,109,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ap', 'finance', 'financial analysis', 'excel', 'financial accounting']",both,901,3,5,Sheikh Zayed, Giza
AP Accountant ( English Speaker),Full Time,on-site,London International Patient Services,"Sheraton, Cairo",56,56,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounts payable', 'microsoft excel', 'communication', 'finance', 'microsoft', 'critical thinking', 'bookkeeping', 'accounting', 'accounting principles', 'ap']",both,901,1,2,Sheraton, Cairo
AP Accountant specialist,Full Time,on-site,Ostool Transport,"6th of October, Giza",28,77,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'certified accountant', 'ap', 'english', 'microsoft', 'enterprise resource planning', 'finance', 'microsoft excel']",both,901,4,6,6th of October, Giza
AP Senior Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",10,140,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts payable', 'accounts reconciliation']",both,901,5,10,6th of October, Giza
AP Team Leader,Full Time,on-site,Kandil Glass,"Katameya, Cairo",4,75,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting procedures', 'commerce', 'finance', 'financial']",both,901,7,10,Katameya, Cairo
AP/AR Accountant,Full Time,on-site,Egypt Kuwait Holding,"6th of October, Giza",3,94,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ar', 'general ledger', 'oracle']",both,901,1,3,6th of October, Giza
AR Accountant,Full Time,on-site,LA VISTA Developments,"Cairo, Egypt",5,90,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce', 'ar', 'english', 'finance', 'financial analysis', 'real estate']",both,901,6,8,Cairo, Egypt
AR Accountant,Full Time,on-site,Not Specified,"Mokattam, Cairo",6,41,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'erp systems', 'finance', 'ar', 'accounts receivable']",both,901,1,3,Mokattam, Cairo
AR Accountant,Full Time,on-site,Carina Wear,"New Cairo, Cairo",28,450,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'ar', 'excel', 'finance', 'financial analysis', 'financial reporting', 'microsoft', 'receivable', 'financial transactions', 'invoice processing', 'payment collections', 'reconciliation', 'financial statements', 'billing & invoicing', 'account reconciliation']",Male,901,,,New Cairo, Cairo
AR Accountant,Full Time,on-site,FlexFilms Egypt,"6th of October, Giza",3,116,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'ar', 'collection', 'finance', 'enterprise resource planning']",both,901,2,5,6th of October, Giza
AR Accountant,Full Time,on-site,Midea Group,"Smart Village, Giza",56,245,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'ar', 'ar accountant', 'erp systems', 'excel', 'finance', 'accounts receivable', 'detail oriented', 'problem solving', 'english', 'communication', 'ifrs', 'enterprise resource planning']",both,901,2,4,Smart Village, Giza
AR Accountant,Full Time,on-site,El Mansour Development,"Mokattam, Cairo",28,113,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ar', 'enterprise resource planning', 'excel', 'finance', 'financial analysis', 'microsoft', 'real estate']",both,901,2,5,Mokattam, Cairo
AR Accountant,Full Time,on-site,Leeds,"Smart Village, Giza",25,139,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'analytical', 'microsoft', 'oracle']",both,901,2,4,Smart Village, Giza
AR Accountant,Full Time,on-site,Cairoscan,"Mohandessin, Giza",56,309,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'finance', 'financial', 'financial accounting', 'financial analysis', 'general ledger', 'microsoft excel', 'excel', 'software', 'ms']",both,901,1,3,Mohandessin, Giza
AR Accountant,Full Time,on-site,WUZZUF,"Maadi, Cairo",24,166,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts receivable', 'english', 'enterprise resource planning', 'ar', 'excel', 'finance', 'financial', 'financial analysis', 'oracle', 'receivable', 'sap', 'tax', 'reporting']",both,901,1,3,Maadi, Cairo
AR Accountant,Full Time,on-site,Alfa Healthcare Egypt,"New Cairo, Cairo",12,137,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['ar accountant', 'accounts receivable', 'accounts reconciliation', 'tax', 'excel', 'financial reporting', 'accounting', 'ar', 'finance', 'financial analysis', 'accountant']",Males Preferred,901,3,5,New Cairo, Cairo
AR Accounting Manager,Full Time,on-site,Khaled Khoshala Co.,"Obour City, Cairo",56,278,1,Manager,Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'communication', 'ar', 'credit', 'enterprise resource planning', 'erp systems', 'finance', 'financial analysis', 'financial', 'software']",Male,901,10,,Obour City, Cairo
AR Section Head,Full Time,on-site,Not Specified,"Helwan, Cairo",56,75,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['enterprise resource planning', 'microsoft', 'accounting', 'financial accounting']",both,901,8,10,Helwan, Cairo
AR Section Head,Full Time,on-site,Not Specified,"6th of October, Giza",25,106,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'communication', 'enterprise resource planning', 'finance', 'fast-moving consumer goods', 'excel', 'microsoft']",both,901,6,8,6th of October, Giza
Account,Full Time,on-site,Magaz,"Damietta, Egypt",20,11,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts', 'administration', 'financial', 'taxes', 'journal entries']",both,901,1,2,Damietta, Egypt
Account Manager,Full Time,on-site,Spectrum Engineering,"6th of October, Giza",28,134,1,Manager,Not Specified,"Confidential, Two Time",Accounting/Finance,"['accounting software', 'finance', 'accounting', 'microsoft', 'english', 'financial']",both,901,7,10,6th of October, Giza
Account Manager,Full Time,on-site,Boghdadya group,"Cairo, Egypt",56,120,20,Manager,Bachelor'S Degree,,Accounting/Finance,"['account', 'account manager']",Male,901,2,4,Cairo, Egypt
Account Manager,Full Time,on-site,Masry for Engineering & trading,"Nasr City, Cairo",56,218,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'team']",both,901,5,7,Nasr City, Cairo
Account Officer,Full Time,on-site,SHRIEF STEEL,"Smouha, Alexandria",56,137,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['account officer', 'accounting', 'microsoft', 'accounts payable', 'finance']",both,901,3,10,Smouha, Alexandria
Account Officer,Full Time,on-site,Massoud Steel,"Obour City, Cairo",28,35,1,Experienced (Non-Manager),Not Specified,8000 To 12000 EGP Per Month,Accounting/Finance,"['account officer', 'accounting', 'accounts payable', 'finance', 'microsoft']",both,901,4,8,Obour City, Cairo
Account Payable Accountant,Full Time,on-site,Elkenany Group,"Giza, Egypt",28,69,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'accounts payable', 'ap accountant', 'commerce', 'english', 'enterprise resource planning', 'erp system', 'finance', 'financial analysis', 'ap']",both,901,2,3,Giza, Egypt
Account Receivable,Full Time,on-site,Fine Hygienic Holding,"6th of October, Giza",23,106,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounts receivable', 'computer', 'finance', 'english', 'financial analysis']",both,901,1,3,6th of October, Giza
Account Receivable Accountant,Full Time,on-site,Elkenany Group,"Giza, Egypt",28,86,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'ar accountant', 'ar', 'english', 'erp system', 'enterprise resource planning', 'finance', 'financial analysis', 'financial']",both,901,2,3,Giza, Egypt
Accountant,Full Time,on-site,Creative Motion,"Maadi, Cairo",56,104,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'excel', 'finance', 'financial analysis', 'financial', 'microsoft excel', 'general ledger', 'gaap', 'financial']",Male,901,3,5,Maadi, Cairo
Accountant,Full Time,on-site,Willow's Egypt,"Sheikh Zayed, Giza",56,91,4,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Basic Salary + 12% Service Charge + Meal Allowance",Accounting/Finance,"['accounting', 'excel', 'finance', 'financial', 'microsoft excel', 'general ledger']",both,901,2,3,Sheikh Zayed, Giza
Accountant,Full Time,on-site,Not Specified,"Obour City, Cairo",7,47,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 10000 EGP Per Month,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'excel', 'financial analysis', 'financial', 'microsoft excel', 'ms']",both,901,1,,Obour City, Cairo
Accountant,Full Time,on-site,electrotech,"Victoria, Alexandria",56,140,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts employee']",both,901,1,5,Victoria, Alexandria
Accountant,Full Time,on-site,Not Specified,"Nozha, Cairo",28,53,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'excel', 'finance', 'enterprise resource planning', 'financial', 'general ledger']",both,901,2,3,Nozha, Cairo
Accountant,Full Time,on-site,Unisas International Freight,"Giza, Egypt",5,115,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'ms', 'microsoft excel', 'certified accountant']",both,901,0,1,Giza, Egypt
Accountant,Full Time,on-site,Al Fares Oilseel,"10th of Ramadan City, Sharqia",19,42,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'accounting software', 'certified public accountant', 'excel', 'certified accountant', 'financial analysis', 'financial', 'gaap', 'general ledger', 'microsoft excel', 'ms']",both,901,2,5,10th of Ramadan City, Sharqia
Accountant,Full Time,on-site,Not Specified,"Azbakia, Cairo",6,70,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,5000 To 8000 EGP Per Month,Accounting/Finance,"['accounting', 'microsoft excel', 'accounting principles', 'accounting software', 'finance', 'financial analysis', 'financial', 'freshbooks', 'gaap', 'microsoft excel']",both,901,1,3,Azbakia, Cairo
Accountant,Full Time,on-site,Not Specified,"Faisal, Giza",24,68,4,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'finance', 'business administration', 'accounting', 'financial analysis', 'financial', 'general ledger', 'taxes', 'certified accountant', 'certified public accountant', 'auditing']",both,901,2,5,Faisal, Giza
Accountant,Full Time,on-site,The Egyptian Co. For Manufacturing Perlite,"6th of October, Giza",20,60,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'ms', 'financial analysis', 'finance', 'accounting regulations', 'analytical', 'excel', 'financial', 'procedures', 'regulations', 'microsoft excel']",Male,901,5,8,6th of October, Giza
Accountant,Full Time,on-site,I'm Rubiks,"Cairo, Egypt",10,59,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'accountant', 'financial analysis', 'financial']",both,901,3,5,Cairo, Egypt
Accountant,Full Time,on-site,Pearl Dental and Beauty Center,"Heliopolis, Cairo",19,42,3,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['administration', 'accounting', 'accounting software', 'excel', 'certified accountant', 'certified public accountant', 'financial analysis', 'financial', 'gaap', 'general ledger']",Male,901,2,3,Heliopolis, Cairo
Accountant,Full Time,on-site,LEDA EGYPT COMPANY,"Ameria, Alexandria",56,140,1,Experienced (Non-Manager),Not Specified,7000 To 9000 EGP Per Month,Accounting/Finance,"['accounting', 'cost accounting']",both,901,4,6,Ameria, Alexandria
Accountant,Full Time,on-site,Not Specified,"Heliopolis, Cairo",12,43,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['communication', 'financial reporting']",both,901,1,3,Heliopolis, Cairo
Accountant,Full Time,on-site,NewTech Company,"Garden City, Cairo",56,105,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,1,3,Garden City, Cairo
Accountant,Full Time,on-site,WAKIDI Law Firm,"Alexandria, Egypt",7,110,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accountant', 'excel', 'financial analysis', 'financial', 'microsoft', 'commerce', 'education', 'finance', 'software']",both,901,2,4,Alexandria, Egypt
Accountant,Full Time,on-site,LTS Group,"Cairo, Egypt",28,130,4,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['english education', 'financial accounting', 'accounts payable', 'accounting', 'accounting software', 'english', 'enterprise resource planning', 'excel', 'finance', 'financial analysis', 'financial', 'organizational', 'software', 'writing']",both,901,1,2,Cairo, Egypt
Accountant,Full Time,on-site,Falcons International Trading & Marketing,"Smart Village, Giza",56,139,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'financial', 'excel', 'financial analysis', 'financial reporting', 'microsoft excel', 'financial']",both,901,2,5,Smart Village, Giza
Accountant,Full Time,on-site,Bayat almanzel,"Cairo, Egypt",28,59,1,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 SAR Per Month,Accounting/Finance,"['accountant', 'accounting', 'analytical', 'communication', 'communication', 'finance', 'financial', 'financial analysis', 'financial', 'financial records', 'odoo', 'records', 'reports']",both,901,3,5,Cairo, Egypt
Accountant,Full Time,on-site,Allianz,"New Cairo, Cairo",56,"1,642",1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['power bi', 'power query', 'accounting', 'data analysis']",both,901,0,2,New Cairo, Cairo
Accountant,Full Time,on-site,Not Specified,"Downtown, Cairo",56,147,1,Entry Level (Junior Level / Fresh Grad),Diploma,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'excel', 'financial analysis', 'financial']",both,901,1,2,Downtown, Cairo
Accountant,Full Time,on-site,Food Basket Egypt,"6th of October, Giza",28,130,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'enterprise resource planning', 'excel', 'finance', 'inventory control']",both,901,0,4,6th of October, Giza
Accountant,Full Time,on-site,7 Cube,"Shorouk City, Cairo",28,58,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions Yearly",Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'certified accountant', 'certified public accountant', 'excel', 'gaap', 'general ledger', 'accounting software', 'microsoft excel']",both,901,1,2,Shorouk City, Cairo
Accountant,Full Time,on-site,jfc-glory,"Maadi, Cairo",3,58,3,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'microsoft excel', 'ms']",both,901,10,20,Maadi, Cairo
Accountant,Full Time,on-site,Todos,"Obour City, Cairo",13,41,1,Experienced (Non-Manager),Bachelor'S Degree,"8000 To 12000 EGP Per Month, Bonus",Accounting/Finance,"['accounting', 'finance', 'enterprise resource planning', 'invoicing', 'tax', 'financial analysis', 'financial', 'insurance', 'medical']",both,901,2,5,Obour City, Cairo
Accountant,Full Time,on-site,Minerals Tech,"Sheikh Zayed, Giza",18,120,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'finance', 'financial analysis', 'financial', 'accounting']",both,901,0,2,Sheikh Zayed, Giza
Accountant,Full Time,on-site,Smart Direction,"Mokattam, Cairo",26,100,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accountant', 'finance', 'general ledger', 'accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'financial analysis', 'financial', 'gaap', 'ms', 'microsoft excel']",Female,901,5,10,Mokattam, Cairo
Accountant,Full Time,on-site,Global conveyor technology,"Maadi, Cairo",56,147,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'finance', 'financial analysis', 'financial']",both,901,1,1,Maadi, Cairo
Accountant,Full Time,on-site,Mantle International,"Cairo, Egypt",56,41,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'training', 'accountant', 'english']",both,901,3,,Cairo, Egypt
Accountant,Full Time,on-site,Serioplast,"6th of October, Giza",13,59,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['ap', 'finance', 'general ledger', 'accounting']",both,901,2,5,6th of October, Giza
Accountant,Full Time,on-site,ghannam vet,"Nasr City, Cairo",56,155,4,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accountant', 'enterprise resource planning', 'finance', 'commerce']",both,901,1,2,Nasr City, Cairo
Accountant,Full Time,on-site,Outsourcing Skill,"Maadi, Cairo",56,102,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'certified public accountant', 'certified accountant', 'microsoft excel', 'ms', 'financial analysis', 'financial']",both,901,1,2,Maadi, Cairo
Accountant,Full Time,on-site,Blue Nile Boat Maadi,"Maadi, Cairo",56,134,5,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'financial analysis', 'financial']",both,901,4,11,Maadi, Cairo
Accountant,Full Time,on-site,Monstel,"Sheikh Zayed, Giza",56,61,1,Experienced (Non-Manager),Not Specified,6000 To 8000 EGP Per Month,Accounting/Finance,"['accounting', 'advanced excel', 'financial', 'odoo', 'financial', 'financial analysis', 'finance', 'excel']",both,901,4,5,Sheikh Zayed, Giza
Accountant,Full Time,on-site,egyptian office,"Heliopolis, Cairo",28,93,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'financial accounting', 'financial', 'accounting software', 'gaap', 'general ledger', 'ms', 'microsoft excel', 'quickbooks', 'excel', 'software']",both,901,3,10,Heliopolis, Cairo
Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",5,47,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce']",both,901,0,2,6th of October, Giza
Accountant,Full Time,on-site,ش شركة العمودي لإستشارات المحاسبة | الزكاة | الضريبة,"Cairo, Egypt",25,93,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'arabic', 'tax', 'income statement', 'financial', 'business', 'commerce', 'english', 'finance', 'financial analysis', 'financial']",Male,901,1,3,Cairo, Egypt
Accountant,Full Time,on-site,PC,"New Cairo, Cairo",28,71,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'finance', 'business', 'general ledger', 'financial', 'tax accounting', 'tax law', 'microsoft excel', 'english', 'accounting principles', 'analytical']",both,901,2,6,New Cairo, Cairo
Accountant,Full Time,on-site,Pyramids Pharmacy,"6th of October, Giza",28,76,1,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Annual Bonus Monthly Bonus Monthly Outing/ Lunch",Accounting/Finance,"['accounting', 'financial', 'finance', 'microsoft excel']",both,901,1,,6th of October, Giza
Accountant,Full Time,on-site,Adaks,"Alexandria, Egypt",56,351,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'excel', 'enterprise resource planning', 'microsoft', 'communication', 'erp system', 'financial analysis', 'financial', 'finance']",both,901,1,3,Alexandria, Egypt
Accountant,Full Time,on-site,torino for real estate developments,"Glim, Alexandria",56,174,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,2,3,Glim, Alexandria
Accountant,Full Time,on-site,كنوز المخابئ للأزياء,"10th of Ramadan City, Cairo",28,56,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'finance', 'financial analysis', 'financial', 'financial accounting', 'erp system']",both,901,2,4,10th of Ramadan City, Cairo
Accountant,Full Time,on-site,Al Ahly capital holding - Al Ahly Tamkeen,"Zamalek, Cairo",28,187,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'general ledger']",both,901,1,3,Zamalek, Cairo
Accountant,Full Time,on-site,Smart GYM,"New Cairo, Cairo",27,53,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'financial analysis', 'auditing', 'certified public accountant', 'detail oriented', 'financial auditing', 'auditing standards', 'internal auditor', 'auditor', 'financial auditor', 'accounting principles', 'financial', 'accountant']",Female,901,2,,New Cairo, Cairo
Accountant,Full Time,on-site,swvt company for tools,"Azbakia, Cairo",56,50,1,Experienced (Non-Manager),Bachelor'S Degree,"7000 To 8000 EGP Per Month, Commission",Accounting/Finance,"['accounting', 'excel', 'odoo', 'finance', 'analysis', 'financial', 'financial analysis', 'financial', 'microsoft', 'problem solving', 'accounting principles']",both,901,2,3,Azbakia, Cairo
Accountant,Full Time,on-site,Real Nutrition,"Nasr City, Cairo",2,307,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'excel', 'financial analysis', 'accounting software', 'certified accountant', 'certified public accountant', 'finance', 'financial', 'gaap', 'general ledger', 'ms', 'microsoft excel']",both,901,0,3,Nasr City, Cairo
Accountant,Full Time,on-site,Mission Consulting,"New Cairo, Cairo",10,130,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['crm software', 'communication', 'accounting', 'certified accountant', 'certified public accountant', 'accounting software', 'financial', 'gaap', 'financial analysis', 'finance', 'general ledger']",both,901,1,3,New Cairo, Cairo
Accountant,Full Time,on-site,Logitime Egypt,"Heliopolis, Cairo",17,66,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'excel', 'finance', 'microsoft excel', 'quickbooks']",Male,901,2,5,Heliopolis, Cairo
Accountant,Full Time,on-site,ElTarek Group,"Alexandria, Egypt",28,292,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'microsoft excel', 'analytical', 'finance', 'financial analysis', 'financial', 'ms', 'excel']",both,901,2,3,Alexandria, Egypt
Accountant,Full Time,on-site,Ertqaa,"New Cairo, Cairo",24,59,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'construction', 'contracting', 'finance', 'financial analysis', 'financial']",both,901,3,5,New Cairo, Cairo
Accountant,Full Time,on-site,الهنا و الحياه تكستايلز,"10th of Ramadan City, Sharqia",11,41,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6500 To 8500 EGP Per Month,Accounting/Finance,"['accounting principles', 'excel', 'accounting', 'finance', 'financial analysis', 'financial', 'certified public accountant', 'certified accountant', 'analytical', 'microsoft excel']",both,901,1,2,10th of Ramadan City, Sharqia
Accountant,Full Time,on-site,Arcelormittal Egypt,"Badr City, Cairo",4,29,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'excel']",both,901,1,3,Badr City, Cairo
Accountant,Full Time,on-site,Raya Distribution,"Giza, Egypt",13,549,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'egyptian tax', 'english section', 'english', 'financial', 'oracle', 'tax', 'tax regulations', 'financial analysis', 'finance']",both,901,0,2,Giza, Egypt
Accountant,Internship,on-site,International Organization for E-Tourism Industry IOETI,"Maadi, Cairo",12,95,4,Entry Level (Junior Level / Fresh Grad),Not Specified,"4000 To 4500 EGP Per Month, Fixed Salary+ Commission+ Social Insurance",Accounting/Finance,"['accounting', 'finance', 'accountant', 'financial analysis', 'financial', 'excel']",both,901,0,1,Maadi, Cairo
Accountant,Full Time,on-site,Sprints.ai,"Maadi, Cairo",56,209,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounts payable', 'communication', 'certified public accountant', 'microsoft excel', 'financial reporting', 'financial', 'accounting', 'tax', 'reporting', 'financial analysis']",both,901,4,6,Maadi, Cairo
Accountant,Full Time,on-site,Masr International Paper,"Obour City, Cairo",11,61,1,Experienced (Non-Manager),Bachelor'S Degree,"7000 To 20000 EGP Per Month, Stock Options Available",Accounting/Finance,"['accounting', 'customer relationship', 'english', 'arabic', 'tax', 'financial', 'software', 'finance', 'financial analysis', 'computer']",both,901,2,10,Obour City, Cairo
