Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country
General Accountant,Full Time,on-site,Komandaz Hub,"New Cairo, Cairo",56,165,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts payable', 'accounts receivable', 'enterprise resource planning', 'erp system', 'excel', 'finance', 'financial analysis', 'financial', 'odoo', 'payable', 'receivable']",both,901,4,5,New Cairo, Cairo
General Accountant,Full Time,on-site,EUP,"Nasr City, Cairo",2,47,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting software', 'accounting', 'communication', 'enterprise resource planning', 'excel', 'financial analysis', 'manufacturing', 'cost accounting', 'financial', 'financial']",both,901,3,5,Nasr City, Cairo
General Accountant,Full Time,on-site,Almosallamy fo,"10th of Ramadan City, Sharqia",56,120,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'communication', 'enterprise resource planning', 'finance', 'financial analysis', 'tax', 'general accountant']",Male,901,2,5,10th of Ramadan City, Sharqia
General Accountant,Full Time,on-site,Nature's Rule Egypt LLC,"Badr City, Cairo",26,149,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'general ledger']",both,901,1,3,Badr City, Cairo
General Accountant,Full Time,on-site,May University in Cairo,"15th May City, Cairo",28,97,5,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,1,3,15th May City, Cairo
General Accountant,Full Time,on-site,"Bloom Business School, BBS","Maadi, Cairo",3,122,1,Entry Level (Junior Level / Fresh Grad),Not Specified,5000 To 7000 EGP Per Month,Accounting/Finance,"['accounting', 'english', 'microsoft excel']",both,901,1,5,Maadi, Cairo
General Accountant,Full Time,on-site,Mobi Egypt,"Maadi, Cairo",3,106,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'enterprise resource planning', 'microsoft', 'general accountant', 'finance']",both,901,1,3,Maadi, Cairo
General Accountant,Full Time,on-site,Not Specified,"Damanhour, Beheira",17,33,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'excel', 'accounting software', 'certified public accountant', 'financial analysis', 'financial', 'gaap', 'general ledger', 'ms', 'software', 'certified accountant']",both,901,1,6,Damanhour, Beheira
General Accountant,Full Time,on-site,ADC-Architecture&Design Consultants,"Sheikh Zayed, Giza",9,132,1,Experienced (Non-Manager),Not Specified,8000 To 16000 EGP Per Month,Accounting/Finance,"['accounting', 'accountant', 'finance', 'general accountant']",both,901,2,5,Sheikh Zayed, Giza
General Accountant,Full Time,on-site,DALWA COMPANY,"Sheraton, Cairo",3,61,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial', 'general accounting', 'financial analysis', 'reporting', 'tax', 'excel']",both,901,3,5,Sheraton, Cairo
