Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country,Applicant_per_position
AR Accountant,Full Time,on-site,Leeds,"Smart Village, Giza",25,139,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'analytical', 'microsoft', 'oracle']",both,901,2,4,Smart Village, Giza,139
AR Accountant,Full Time,on-site,Cairoscan,"Mohandessin, Giza",56,309,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'finance', 'financial', 'financial accounting', 'financial analysis', 'general ledger', 'microsoft excel', 'excel', 'software', 'ms']",both,901,1,3,Mohandessin, Giza,309
AR Accountant,Full Time,on-site,WUZZUF,"Maadi, Cairo",24,166,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts receivable', 'english', 'enterprise resource planning', 'ar', 'excel', 'finance', 'financial', 'financial analysis', 'oracle', 'receivable', 'sap', 'tax', 'reporting']",both,901,1,3,Maadi, Cairo,166
AR Accountant,Full Time,on-site,Alfa Healthcare Egypt,"New Cairo, Cairo",12,137,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['ar accountant', 'accounts receivable', 'accounts reconciliation', 'tax', 'excel', 'financial reporting', 'accounting', 'ar', 'finance', 'financial analysis', 'accountant']",Males Preferred,901,3,5,New Cairo, Cairo,137
AR Accounting Manager,Full Time,on-site,Khaled Khoshala Co.,"Obour City, Cairo",56,278,1,Manager,Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'communication', 'ar', 'credit', 'enterprise resource planning', 'erp systems', 'finance', 'financial analysis', 'financial', 'software']",Male,901,10,,Obour City, Cairo,278
AR Section Head,Full Time,on-site,Not Specified,"Helwan, Cairo",56,75,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['enterprise resource planning', 'microsoft', 'accounting', 'financial accounting']",both,901,8,10,Helwan, Cairo,75
AR Section Head,Full Time,on-site,Not Specified,"6th of October, Giza",25,106,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'communication', 'enterprise resource planning', 'finance', 'fast-moving consumer goods', 'excel', 'microsoft']",both,901,6,8,6th of October, Giza,106
Account,Full Time,on-site,Magaz,"Damietta, Egypt",20,11,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts', 'administration', 'financial', 'taxes', 'journal entries']",both,901,1,2,Damietta, Egypt,11
Account Manager,Full Time,on-site,Spectrum Engineering,"6th of October, Giza",28,134,1,Manager,Not Specified,"Confidential, Two Time",Accounting/Finance,"['accounting software', 'finance', 'accounting', 'microsoft', 'english', 'financial']",both,901,7,10,6th of October, Giza,134
Account Manager,Full Time,on-site,Boghdadya group,"Cairo, Egypt",56,120,20,Manager,Bachelor'S Degree,,Accounting/Finance,"['account', 'account manager']",Male,901,2,4,Cairo, Egypt,6
