Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country,Applicant_per_position
Junior Accountant,Full Time,on-site,Snuggs Egypt,"New Cairo, Cairo",56,290,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'finance', 'financial', 'excel', 'microsoft excel', 'financial accounting', 'general ledger', 'microsoft', 'commerce', 'english', 'e-commerce']",both,901,0,2,New Cairo, Cairo,290
Junior Accountant,Full Time,on-site,Talent Zone for Projects Management,"New Cairo, Cairo",28,138,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['ifrs', 'gaap']",both,901,3,6,New Cairo, Cairo,138
Junior Accountant,Full Time,on-site,Leader cosmetics,"Badr City, Cairo",28,121,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'financial analysis', 'financial reporting']",both,901,1,2,Badr City, Cairo,121
Junior Accountant,Full Time,on-site,flyadeal Egypt,"Giza, Egypt",56,423,1,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Benefits During The Year",Accounting/Finance,"['accounting', 'microsoft', 'excel', 'finance']",both,901,1,3,Giza, Egypt,423
Junior Accountant,Internship,on-site,HLPR,"Maadi, Cairo",28,439,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Paid,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'microsoft', 'financial reporting', 'aca', 'acca', 'financial', 'microsoft', 'sap']",both,901,0,1,Maadi, Cairo,439
Junior Accountant - EGYPT,Full Time,on-site,Not Specified,"Nasr City, Cairo",28,132,1,Experienced (Non-Manager),Bachelor'S Degree,5000 To 7000 AED Per Month,Accounting/Finance,"['accounting', 'finance', 'accounting software', 'business', 'financial', 'financial accounting', 'financial analysis', 'financial', 'general ledger', 'microsoft excel', 'ledger', 'excel']",both,901,2,3,Nasr City, Cairo,132
Junior Accounting Assistant,Full Time,on-site,InHouse World Ltd,"Cairo, Egypt",28,126,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance']",both,901,1,,Cairo, Egypt,63
Junior Accounts Receivable Specialist(Male),Full Time,on-site,Not Specified,"New Cairo, Cairo",5,48,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts payable', 'accounts receivable', 'english']",both,901,0,1,New Cairo, Cairo,48
Junior Branch Accountant,Full Time,on-site,Naqla,"Suez, Suez",56,119,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'microsoft', 'reporting']",both,901,1,2,Suez, Suez,119
Junior Budgeting Accountant,Full Time,on-site,Nile Sugar,"Agouza, Giza",3,57,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, 1) Profit Share 2) Annual Bonus 3) Annual Salary Increase 4)Family Medical Insurance 4) Pension Plan 5) Life Insurance",Accounting/Finance,"['finance', 'financial analysis', 'commerce', 'english']",both,901,1,2,Agouza, Giza,57
Junior Collections Specialist,Full Time,on-site,Genpact,"New Cairo, Cairo",28,58,3,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['collection', 'accounting', 'finance']",both,901,1,5,New Cairo, Cairo,19
Junior ERP Consultant ( Accountant Section ),Full Time,on-site,Compu master,"Maadi, Cairo",56,210,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'business administration', 'communication', 'erp systems', 'financial', 'business', 'communication', 'enterprise resource planning', 'information technology (it)']",Male,901,1,3,Maadi, Cairo,70
Junior Receivables Accountant - AR Accountant,Full Time,on-site,LG Electronics,"Katameya, Cairo",12,243,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Transportation , Insurance , Paid Overtime Annual Short Term Incentives , ...",Accounting/Finance,"['accounting', 'finance', 'account payable', 'payable', 'ap', 'financial analysis', 'commerce', 'english', 'computer', 'microsoft', 'gl analysis', 'general ledger']",both,901,1,2,Katameya, Cairo,243
Junior Receivables Accountant - AR Accountant,Full Time,on-site,LG Electronics,"Katameya, Cairo",12,242,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Transportation , Insurance , Paid Overtime Annual Short Term Incentives , ...",Accounting/Finance,"['accounting', 'finance', 'account payable', 'payable', 'ap', 'financial analysis', 'commerce', 'english', 'computer', 'microsoft', 'gl analysis', 'general ledger']",both,901,1,2,Katameya, Cairo,242
"Junior site accountant ""Al Dabaa""",Full Time,on-site,Not Specified,"Dabaa, Matruh",28,25,1,Entry Level (Junior Level / Fresh Grad),Not Specified,6000 To 8000 EGP Per Month,Accounting/Finance,"['accounting software', 'data entry', 'finance', 'inventory', 'microsoft', 'agriculture', 'financial analysis', 'accounting']",both,901,1,2,Dabaa, Matruh,25
Lawyer,Full Time,on-site,Al-Freeh,"Maadi, Cairo",6,60,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['english law', 'english', 'corporate law', 'legal', 'lawyer', 'law']",both,901,2,3,Maadi, Cairo,60
Liquidity Accountant,Full Time,on-site,Tolido,"Cairo, Egypt",13,21,1,Experienced (Non-Manager),Bachelor'S Degree,9000 To 10000 EGP Per Month,Accounting/Finance,"['cash flow', 'accounting', 'financial analysis', 'finance']",both,901,3,5,Cairo, Egypt,21
Logistics Accountant,Full Time,on-site,EUP,"Nasr City, Cairo",28,82,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'export', 'freight forwarding', 'logistics', 'import', 'excel', 'english', 'accountant', 'finance']",both,901,3,5,Nasr City, Cairo,82
MANAGER FINANCE,Full Time,on-site,Badr And Asfour,"Shubra, Cairo",56,248,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'communication', 'communication', 'english', 'finance', 'excel', 'financial analysis', 'financial', 'software', 'financial']",both,901,5,8,Shubra, Cairo,248
MIS Analyst,Full Time,on-site,FlexFilms Egypt,"6th of October, Giza",3,176,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['analyst', 'accounting', 'mis']",both,901,0,3,6th of October, Giza,176
Manager,Full Time,on-site,Pure Group,"New Cairo, Cairo",28,45,5,Manager,Not Specified,Confidential,Accounting/Finance,"['business development', 'deliverables', 'consulting', 'sports', 'sports', 'sports consulting', 'sponsership strategy', 'marketing strategy', 'strategic planning', 'international business development', 'pmo', 'project', 'project professional', 'project institute (pmi)']",both,901,6,8,New Cairo, Cairo,9
Manager (Collection),Full Time,on-site,Raya Distribution,"Maadi, Cairo",20,95,1,Manager,Not Specified,Confidential,Accounting/Finance,"['administration', 'collection', 'manager', 'microsoft']",both,901,8,10,Maadi, Cairo,95
Manufacturing Chief Accountant,Full Time,on-site,Awazel,"Cairo, Egypt",28,230,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'sap', 'excel', 'financial', 'manufacturing', 'microsoft excel', 'finance', 'financial analysis', 'accounting software']",both,901,7,10,Cairo, Egypt,230
Microsoft Dynamics 365 F&O Functional Consultant,Full Time,on-site,Dynamicslink,"Nasr City, Cairo",27,31,2,Experienced (Non-Manager),Not Specified,"Confidential, Social, Medical Insurance. Transportation, Training, Bonus, Profit Share, Mobile Line.",Accounting/Finance,"['ax', 'computer science', 'microsoft dynamics 365', 'dynamics', 'd365', 'dynamics ax', 'enterprise resource planning', 'f&o', 'information technology (it)', 'accounting', 'business']",both,901,3,7,Nasr City, Cairo,15
Microsoft Dynamics 365 F&O Functional Consultant - Supply Chain Focus on Retail.,Full Time,on-site,Dynamicslink,"Nasr City, Cairo",26,35,1,Experienced (Non-Manager),Not Specified,"Confidential, Social, Medical Insurance. Transportation, Training, Bonus, Profit Share, Mobile Line.",Accounting/Finance,"['dynamics', 'microsoft dynamics', 'logistics', 'inventory', 'information technology (it)', 'finance', 'enterprise resource planning', 'microsoft dynamics 365', 'dynamics 365', 'computer science', 'business', 'supply chain']",both,901,5,9,Nasr City, Cairo,35
Microsoft Dynamics 365 Functional Consultant- Finance,Full Time,on-site,Dynamicslink,"Nasr City, Cairo",27,35,2,Experienced (Non-Manager),Not Specified,"Confidential, Social, Medical Insurance. Transportation, Training, Bonus, Profit Share, Mobile Line.",Accounting/Finance,"['business', 'business administration', 'enterprise resource planning', 'information technology (it)', 'microsoft dynamics', 'certified public accountant', 'finance', 'microsoft dynamics 365', 'accounting']",both,901,4,7,Nasr City, Cairo,17
Monitoring And Evaluation Specialist,Full Time,on-site,Misr Elkheir Foundation,"Mokattam, Cairo",6,19,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['evaluation', 'monitoring', 'microsoft', 'project', 'm&e', 'accounting', 'finance']",both,901,1,3,Mokattam, Cairo,19
Odoo Accountant,Full Time,on-site,carpiture,"Nasr City, Cairo",11,40,3,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['odoo system', 'accounting']",both,901,2,4,Nasr City, Cairo,13
Odoo Accountant,Full Time,on-site,Dimofinf Operations Center,"Nasr City, Cairo",28,57,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'analytical', 'communication', 'enterprise resource planning', 'excel', 'finance', 'odoo', 'odoo erp', 'inventory', 'financial analysis', 'financial', 'account']",both,901,3,7,Nasr City, Cairo,57
Odoo Functional Consultant,Full Time,on-site,TDS - Talents Digital Services.,"Giza, Egypt",23,37,1,Experienced (Non-Manager),Not Specified,20000 To 40000 EGP Per Month,Accounting/Finance,"['accounting', 'enterprise resource planning', 'odoo', 'odoo implementation', 'implementation', 'business analysis']",both,901,3,5,Giza, Egypt,37
Odoo Functional Consultant,Full Time,on-site,Ryze Clubs,"New Cairo, Cairo",26,15,1,Manager,Not Specified,Confidential,Accounting/Finance,"['business administration', 'computer science', 'enterprise resource planning', 'functional consultant', 'information technology (it)', 'odoo']",both,901,4,7,New Cairo, Cairo,15
Odoo Implementer,Full Time,on-site,National Technology,"Nasr City, Cairo",10,35,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Family Medical Insurance",Accounting/Finance,"['accounting', 'computer science', 'english', 'enterprise resource planning', 'information technology (it)', 'odoo', 'planning', 'telecom engineering']",both,901,1,3,Nasr City, Cairo,11
Odoo Implementer,Full Time,on-site,Not Specified,"Sheraton, Cairo",28,32,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['erp system', 'erp solutions', 'accounting', 'business processes', 'odoo erp', 'odoo', 'information technology (it)', 'implementation', 'erp implementation', 'configuration', 'enterprise resource planning', 'computer science']",both,901,2,3,Sheraton, Cairo,32
Off-site Audit Manager,Full Time,on-site,Al Ahly capital holding - Al Ahly Tamkeen,"Zamalek, Cairo",28,72,1,Manager,Not Specified,Confidential,Accounting/Finance,"['audit', 'auditing', 'quality', 'accounting', 'finance']",both,901,7,10,Zamalek, Cairo,72
Office Manager,Full Time,on-site,Not Specified,"6th of October, Giza",28,42,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['commerce', 'business administration', 'microsoft', 'computer', 'social media']",Male,901,1,3,6th of October, Giza,42
Office Manager,Full Time,on-site,GB Corp,"Giza, Egypt",3,63,1,Experienced (Non-Manager),Not Specified,"Confidential, Basic Salary, Quarter Bonus, Medical Insurance, Pension Program And Life Insurance",Accounting/Finance,"['administration', 'secretary', 'communication', 'microsoft']",both,901,3,5,Giza, Egypt,63
Office Manager,Full Time,on-site,Amer Vision Group,"Sheraton, Cairo",28,180,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['administration', 'administrative', 'communication', 'english', 'microsoft', 'ms', 'organization', 'secretary', 'time']",Female,901,4,8,Sheraton, Cairo,180
Onsite Audit Manager,Full Time,on-site,Al Ahly capital holding - Al Ahly Tamkeen,"Zamalek, Cairo",28,100,1,Manager,Not Specified,Confidential,Accounting/Finance,"['auditing', 'audit', 'business administration', 'ifrs', 'risk', 'internal controls']",both,901,7,10,Zamalek, Cairo,100
Operational Risk Analyst,Full Time,on-site,Sandah for micro finance,"Mohandessin, Giza",28,87,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['analysis', 'analyst', 'bi', 'structured query language', 'risk assessment', 'risk', 'risk analysis', 'microfinance', 'research', 'finance', 'risk', 'operations']",both,901,1,3,Mohandessin, Giza,87
Operations Costing Control Manager,Full Time,on-site,City Glass,"10th of Ramadan City, Cairo",24,113,1,Manager,Bachelor'S Degree,,Accounting/Finance,"['accounting', 'cost', 'cost accounting', 'sap', 'finance', 'financial analysis', 'financial', 'manufacturing', 'budgeting', 'operations', 'mechanical engineering', 'project', 'business administration']",Male,901,10,15,10th of Ramadan City, Cairo,113
Oracle Apps Developer,Full Time,on-site,Egypt Kuwait Holding,"6th of October, Giza",2,8,1,Entry Level (Junior Level / Fresh Grad),Not Specified,0 To 0 EGP Per Month,Accounting/Finance,"['oracle', 'oracle ebs', 'reports']",both,901,1,3,6th of October, Giza,8
Oracle Finance Consultant,Full Time,on-site,Quality Business Solutions,"Maadi, Cairo",6,25,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounts payable', 'ebs', 'finance', 'general ledger', 'oracle', 'financial', 'information technology (it)', 'accounting', 'fusion']",both,901,5,15,Maadi, Cairo,25
Overseas Accountant,Full Time,on-site,Trading Company,"Cairo, Egypt",23,171,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,1500 To 1800 SAR Per Month,Accounting/Finance,"['zoho', 'tax accounting', 'accounting', 'financial accounting', 'account', 'accounts payable', 'payable accounting', 'treasury accounting', 'accounts receivable', 'cost accounting', 'accounting reports']",both,901,1,3,Cairo, Egypt,171
Part Time Accountant,Part Time,on-site,Not Specified,"Cairo, Egypt",6,137,1,Experienced (Non-Manager),Not Specified,2000 To 3500 EGP Per Month,Accounting/Finance,"['accounting', 'finance']",both,901,1,3,Cairo, Egypt,137
Payable Accountant,Full Time,on-site,SIPES,"Heliopolis, Cairo",28,208,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounts payable', 'accounting principles']",both,901,2,3,Heliopolis, Cairo,208
Payable Accountant,Full Time,on-site,365 Ecology,"Sheikh Zayed, Giza",56,95,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonus",Accounting/Finance,"['accounting', 'accounts payable', 'construction', 'finance', 'financial analysis']",both,901,2,4,Sheikh Zayed, Giza,95
Payable accountant,Full Time,on-site,Mediterraneo Trading,"New Cairo, Cairo",21,97,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts payable', 'finance', 'sap', 'payables', 'enterprise resource planning']",both,901,1,3,New Cairo, Cairo,97
Payroll & Personnel Manager,Full Time,on-site,AFI FOOD,"Obour City, Cairo",19,171,1,Manager,Not Specified,Confidential,Accounting/Finance,"['fast-moving consumer goods', 'human resources (hr)', 'personnel', 'payroll', 'microsoft', 'enterprise resource planning']",both,901,8,10,Obour City, Cairo,171
Payroll Executive,Full Time,on-site,Elabd Foods,"Abu Rawash, Giza",56,46,1,Experienced (Non-Manager),Not Specified,"Confidential, Bonus, Medical Insurance, Profit Share",Accounting/Finance,"['human resources (hr)', 'payroll', 'compensation', 'benefits']",both,901,1,3,Abu Rawash, Giza,46
Payroll Section Head,Full Time,on-site,Not Specified,"Sheikh Zayed, Giza",56,120,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'auditing', 'hr systems', 'human resources (hr)', 'enterprise resource planning', 'payroll', 'sap', 'microsoft']",both,901,5,7,Sheikh Zayed, Giza,120
Payroll Specialist,Full Time,on-site,InstaShop,"Cairo, Egypt",56,63,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['benefits', 'human resources', 'payroll', 'compensation', 'human resources (hr)', 'human resources', 'personnel', 'payroll system', 'payroll accounting', 'microsoft excel', 'calculations', 'compliance', 'administration']",both,901,2,4,Cairo, Egypt,63
Payroll Specialist,Full Time,on-site,Not Specified,"khanka, Qalubia",28,15,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['payroll', 'payroll accounting', 'tax law', 'insurance', 'tax', 'finance', 'accounting']",Male,901,3,7,khanka, Qalubia,15
Payroll Specialist,Full Time,on-site,Samcrete Engineers & contractors,"Faisal, Giza",26,48,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['payroll', 'communication', 'human resources (hr)', 'microsoft']",both,901,1,3,Faisal, Giza,48
Payroll Team Lead,Full Time,on-site,Outservingplus,"Nozha, Cairo",5,28,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['business administration', 'communication', 'computer science', 'information technology (it)', 'oracle', 'sap', 'software', 'software development']",both,901,3,7,Nozha, Cairo,28
Pricing Analyst,Full Time,on-site,Target Recruitment & HR Solutions,"New Cairo, Cairo",56,150,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'analyst', 'commerce', 'data analysis', 'english', 'excel', 'finance', 'microsoft', 'analysis', 'pricing', 'travel']",both,901,1,2,New Cairo, Cairo,150
Pricing and Cost Senior Accountant,Full Time,on-site,Kandil Glass,"10th of Ramadan City, Cairo",28,82,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'cost accounting', 'cost', 'enterprise resource planning', 'excel', 'finance', 'financial analysis', 'financial', 'pricing']",both,901,4,7,10th of Ramadan City, Cairo,82
Procurement Specialist,Full Time,on-site,Genpact,"New Cairo, Cairo",29,70,4,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['communication', 'procurement', 'purchasing', 'supply chain', 'english']",both,901,1,3,New Cairo, Cairo,17
"Public Relation officer(Tax, Finance Field)",Full Time,on-site,Korea Hydro Nuclear Power co.LTD (KHNP),"New Cairo, Cairo",4,44,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"1200 To 1200 USD Per Month, Gross",Accounting/Finance,"['insurance', 'finance', 'english', 'accounting', 'public relations (pr)', 'translation']",both,901,,,New Cairo, Cairo,44
Purchasing Officer,Full Time,on-site,Economic Group,"New Cairo, Cairo",3,33,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['purchasing officer', 'business', 'purchasing']",Male,901,1,5,New Cairo, Cairo,33
Purchasing Representative,Full Time,on-site,Elkenany Group,"Giza, Egypt",28,21,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['logistics', 'procurement', 'purchasing', 'accounting', 'banking']",Male,901,5,7,Giza, Egypt,21
Quality Assurance Executive,Full Time,on-site,Alwadi Holding,"Mohandessin, Giza",28,42,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['quality', 'quality assurance', 'english', 'communication', 'communication', 'quality assurance', 'quality control', 'business administration', 'administration']",both,901,2,5,Mohandessin, Giza,42
Receivable Accountant,Full Time,on-site,Eamar Al Delta,"New Cairo, Cairo",6,196,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'microsoft excel', 'real estate', 'ms', 'reporting', 'excel', 'finance', 'financial', 'financial analysis']",Male,901,5,7,New Cairo, Cairo,196
Receivables Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",18,50,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['commerce', 'payable', 'finance', 'financial', 'financial analysis', 'accounting', 'microsoft', 'payable accounting']",both,901,3,5,6th of October, Giza,50
Receivables Accountant,Full Time,on-site,Earth Development,"Cairo, Egypt",56,99,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'receivable', 'real estate']",both,901,3,5,Cairo, Egypt,99
Receivables Accountant,Full Time,on-site,SIPES,"Heliopolis, Cairo",28,173,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounts receivable', 'analytical']",both,901,2,3,Heliopolis, Cairo,173
Receivables Accountant,Full Time,on-site,Ready Pack Technology,"Obour City, Cairo",56,119,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'accounts receivable', 'collection', 'finance']",both,901,3,5,Obour City, Cairo,119
Retail Collection Supervisor,Full Time,on-site,Premium Card,"Dokki, Giza",26,41,1,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Accounting/Finance,"['communication', 'retail']",both,901,4,6,Dokki, Giza,41
Retail Finance Specialist,Full Time,on-site,Mii,"Cairo, Egypt",23,165,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'auditing', 'commerce', 'communication', 'finance', 'financial', 'financial analysis', 'financial', 'tax', 'retail', 'enterprise resource planning']",both,901,3,6,Cairo, Egypt,165
Risk Manager,Full Time,on-site,FinBi Finance & Banking Consultants International,"Dokki, Giza",28,44,1,Manager,Not Specified,Confidential,Accounting/Finance,"['business administration', 'analysis', 'accounting']",both,901,7,10,Dokki, Giza,44
SAP FICO Consultant,Full Time,on-site,Nahdet Misr Publishing Group,"Mohandessin, Giza",12,21,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['sap', 'information technology (it)', 'fico', 'fi', 'computer science', 'costing', 'accounting', 'english', 'commerce', 'finance', 'sap fico', 'mm', 'abap', 'sd']",both,901,1,2,Mohandessin, Giza,21
SAP FICO Consultant (Finacial & Control),Full Time,on-site,Sphinx Glass,"Alsadat City, Monufya",56,20,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['analysis', 'accounting', 'business administration', 'fico', 'finance', 'financial', 'information technology (it)', 'sap fico', 'sap', 'certified public accountant', 'computer science', 'english']",both,901,3,8,Alsadat City, Monufya,20
SAP Team Leader,Full Time,on-site,Elmarakby Steel,"6th of October, Giza",28,31,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['project', 'information technology (it)', 'sap fico', 'sap']",both,901,6,8,6th of October, Giza,31
SR Credit & Collections Analyst,Full Time,on-site,Egyptian Company for Cosmetics,"Nasr City, Cairo",23,48,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonuses",Accounting/Finance,"['accounting', 'analysis', 'credit', 'finance', 'financial analysis', 'financial', 'collection']",both,901,3,5,Nasr City, Cairo,48
Sales Administrator,Full Time,on-site,شركه طنطا موتورز,"Nasr City, Cairo",28,43,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['sales', 'excel', 'microsoft', 'sales administrator', 'business administration']",Males Preferred,901,0,3,Nasr City, Cairo,43
Sales Coordinator,Full Time,on-site,Landmarks consulting solutions CO,"Maadi, Cairo",56,34,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['administration', 'coordinator', 'customer service', 'marketing', 'sales', 'sales coordinator', 'sales', 'computer', 'communication', 'business administration', 'business', 'microsoft']",both,901,2,5,Maadi, Cairo,34
Senior AP Accountant,Full Time,on-site,Aman,"Maadi, Cairo",12,167,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'excel', 'financial', 'financial analysis', 'financial accounting', 'oracle', 'microsoft excel', 'financial']",both,901,1,2,Maadi, Cairo,167
Senior AP Accountant,Full Time,on-site,Etisal EG,"New Cairo, Cairo",28,263,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'financial', 'finance', 'microsoft', 'accounts payable', 'payable accounting', 'erp system', 'erp software']",both,901,5,7,New Cairo, Cairo,263
Senior AP Accountant,Full Time,on-site,Not Specified,"Cairo, Egypt",24,118,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'communication', 'english', 'finance']",both,901,3,5,Cairo, Egypt,118
Senior AR Accountant,Full Time,on-site,Vision Cosmetics,"Nasr City, Cairo",14,120,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'ar', 'finance', 'sap', 'financial analysis', 'fast-moving consumer goods', 'excel', 'retail', 'account receivable']",Male,901,3,5,Nasr City, Cairo,120
Senior AR Accountant,Full Time,on-site,Not Specified,"New Cairo, Cairo",56,133,2,Experienced (Non-Manager),Bachelor'S Degree,"7000 To 8000 EGP Per Month, 3000-4000",Accounting/Finance,"['accounting', 'enterprise resource planning', 'erp systems', 'finance', 'financial analysis', 'microsoft', 'retail', 'ar', 'excel', 'food and beverage', 'f & b']",both,901,5,8,New Cairo, Cairo,66
Senior Account Receivables,Full Time,on-site,Fawry Plus,"Smart Village, Giza",12,141,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commercial', 'asset', 'ar', 'enterprise resource planning', 'english', 'finance', 'financial analysis', 'excel', 'financial', 'financial', 'fast-moving consumer goods']",both,901,2,4,Smart Village, Giza,141
Senior Accountant,Full Time,on-site,Integrity Accounting Services,"Dubai, United Arab Emirates",17,333,1,Experienced (Non-Manager),Bachelor'S Degree,7000 To 8000 AED Per Month,Accounting/Finance,"['accounting', 'communication', 'budgeting', 'certified public accountant', 'finance', 'financial analysis', 'financial', 'financial', 'accounting principles', 'financial modeling', 'accountant']",both,901,1,,Dubai, United Arab Emirates,333
Senior Accountant,Full Time,on-site,Flordor,"Cairo, Egypt",28,82,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['odoo erp', 'accountant', 'excel', 'finance', 'accounting', 'financial analysis', 'financial', 'general ledger', 'accounting software', 'freshbooks', 'microsoft excel', 'odoo']",Male,901,3,5,Cairo, Egypt,82
Senior Accountant,Full Time,on-site,Homix,"Maadi, Cairo",28,108,1,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,"['financial', 'accounting', 'business', 'finance']",both,901,,,Maadi, Cairo,108
Senior Accountant,Full Time,on-site,Beit El Wadi,"Beheira, Egypt",11,30,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Accomodation & Allowances Provided",Accounting/Finance,"['accounting', 'certified accountant', 'finance', 'microsoft excel', 'reporting', 'financial analysis', 'enterprise resource planning', 'certified public accountant']",both,901,5,,Beheira, Egypt,30
Senior Accountant,Full Time,on-site,Smart sevices,"Maadi, Cairo",17,198,3,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'certified accountant', 'english', 'excel', 'finance', 'financial analysis', 'financial', 'tax', 'budgeting', 'enterprise resource planning']",both,901,5,19,Maadi, Cairo,66
Senior Accountant,Full Time,on-site,الااونا لتكنولوجيا المعلومات ش ذ م م,"10th of Ramadan City, Sharqia",56,120,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'financial', 'gaap', 'finance', 'financial analysis', 'financial', 'excel', 'microsoft excel', 'financial reporting', 'reporting', 'communication', 'business']",both,901,3,20,10th of Ramadan City, Sharqia,120
Senior Accountant,Full Time,on-site,Not Specified,"Maadi, Cairo",56,162,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'excel', 'finance', 'financial', 'financial accounting', 'financial analysis', 'financial', 'gaap', 'general ledger']",both,901,4,6,Maadi, Cairo,81
