Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Applicant_per_position
AR Accountant,Full Time,on-site,Cairoscan,Giza,56,309.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'finance', 'financial', 'financial accounting', 'financial analysis', 'general ledger', 'microsoft excel', 'excel', 'software', 'ms']",both,901,1.0,3.0,Mohandessin,309.0
AR Accountant,Full Time,on-site,WUZZUF,cairo,24,166.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts receivable', 'english', 'enterprise resource planning', 'ar', 'excel', 'finance', 'financial', 'financial analysis', 'oracle', 'receivable', 'sap', 'tax', 'reporting']",both,901,1.0,3.0,Maadi,166.0
AR Accountant,Full Time,on-site,Alfa Healthcare Egypt,cairo,12,137.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['ar accountant', 'accounts receivable', 'accounts reconciliation', 'tax', 'excel', 'financial reporting', 'accounting', 'ar', 'finance', 'financial analysis', 'accountant']",Males Preferred,901,3.0,5.0,New Cairo,137.0
AR Accounting Manager,Full Time,on-site,Khaled Khoshala Co.,cairo,56,278.0,1,Manager,Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'communication', 'ar', 'credit', 'enterprise resource planning', 'erp systems', 'finance', 'financial analysis', 'financial', 'software']",Male,901,10.0,,Obour City,278.0
AR Section Head,Full Time,on-site,Not Specified,cairo,56,75.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['enterprise resource planning', 'microsoft', 'accounting', 'financial accounting']",both,901,8.0,10.0,Helwan,75.0
AR Section Head,Full Time,on-site,Not Specified,Giza,25,106.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'communication', 'enterprise resource planning', 'finance', 'fast-moving consumer goods', 'excel', 'microsoft']",both,901,6.0,8.0,6th of October,106.0
Account,Full Time,on-site,Magaz,Damietta,20,11.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts', 'administration', 'financial', 'taxes', 'journal entries']",both,901,1.0,2.0,Damietta,11.0
Account Manager,Full Time,on-site,Spectrum Engineering,Giza,28,134.0,1,Manager,Not Specified,"Confidential, Two Time",Accounting/Finance,"['accounting software', 'finance', 'accounting', 'microsoft', 'english', 'financial']",both,901,7.0,10.0,6th of October,134.0
Account Manager,Full Time,on-site,Boghdadya group,cairo,56,120.0,20,Manager,Bachelor'S Degree,,Accounting/Finance,"['account', 'account manager']",Male,901,2.0,4.0,Cairo,6.0
Account Manager,Full Time,on-site,Masry for Engineering & trading,cairo,56,218.0,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'team']",both,901,5.0,7.0,Nasr City,218.0
Account Officer,Full Time,on-site,SHRIEF STEEL,Alexandria,56,137.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['account officer', 'accounting', 'microsoft', 'accounts payable', 'finance']",both,901,3.0,10.0,Smouha,137.0
Account Officer,Full Time,on-site,Massoud Steel,cairo,28,35.0,1,Experienced (Non-Manager),Not Specified,8000 To 12000 EGP Per Month,Accounting/Finance,"['account officer', 'accounting', 'accounts payable', 'finance', 'microsoft']",both,901,4.0,8.0,Obour City,35.0
Account Payable Accountant,Full Time,on-site,Elkenany Group,Giza,28,69.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'accounts payable', 'ap accountant', 'commerce', 'english', 'enterprise resource planning', 'erp system', 'finance', 'financial analysis', 'ap']",both,901,2.0,3.0,Giza,69.0
Account Receivable,Full Time,on-site,Fine Hygienic Holding,Giza,23,106.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounts receivable', 'computer', 'finance', 'english', 'financial analysis']",both,901,1.0,3.0,6th of October,106.0
Account Receivable Accountant,Full Time,on-site,Elkenany Group,Giza,28,86.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'ar accountant', 'ar', 'english', 'erp system', 'enterprise resource planning', 'finance', 'financial analysis', 'financial']",both,901,2.0,3.0,Giza,86.0
