Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
School Head of Admissions,Full Time,On-site,Egypt Education Platform,"Riyadh, Saudi Arabia",Posted 27 days ago,48,1 open position,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Marketing', 'School', 'Education']"
Senior Backend Developer,Full Time,Hybrid,RocketDevs,"Cairo, Egypt",Posted 1 month ago,12,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Software Development', 'Ruby', 'Ruby on Rails', 'Infrastructure Engineering', 'Computer Science', 'Software Engineering', 'Web Development', 'API']"
Civil Engineer,Full Time,On-site,SAAB Engineering Consulating Office,"Agouza, Giza",Posted 23 days ago,74,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Civil Engineering', 'Design', 'Communication', 'Site', 'Engineering', 'Civil', 'civil 3d', 'Construction', 'Management', '3D']"
Senior Tendering Engineer,Full Time,On-site,REDCON Construction Co. S.A.E,"Cairo, Egypt",Posted 1 month ago,50,4 open positions,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Civil', 'tender', 'Engineering', 'Tendering']"
Senior Android Developer,Full Time,Hybrid,Fixed Solutions,"Cairo, Egypt",Posted 3 days ago,34,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Android', 'APIs', 'Software Engineering', 'Software Development', 'UI', 'Information Technology (IT)', 'Design', 'Computer Science', 'Engineering', 'Debugging', 'Testing']"
Accountant,Full Time,On-site,Serioplast,"6th of October, Giza",Posted 13 days ago,59,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['AP', 'Finance', 'General Ledger', 'Accounting']"
Senior Social Media Specialist,Full Time,On-site,Macro Group,"Sheraton, Cairo",Posted 1 month ago,67,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Social Media', 'Marketing', 'E-Marketing', 'digital media', 'Digital', 'Online Marketing', 'media']"
Civil Site Engineer,Full Time,On-site,ARCOM Developments,"Giza, Egypt",Posted 18 days ago,277,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil', 'AutoCAD', '3D', 'civil 3d', 'Civil Engineering', 'Communication', 'Construction', 'Design', 'Engineering', 'Management', 'Site']"
Administrative Assistant,Full Time,On-site,Pharma Overseas,"New Cairo, Cairo",Posted 1 month ago,140,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['administrative', 'administrative assistant', 'Secretary', 'Assistant', 'Administration', 'Admin']"
Business Development Specialist,Full Time,On-site,The Edge for Real Estate,"Cairo, Egypt",Posted 2 months ago,52,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Business Administration', 'Business Development', 'Market Research', 'CRM', 'Microsoft Office', 'Marketing', 'Sales', 'sales skills', 'Communication', 'Administration', 'business']"
Accountant,Full Time,On-site,Serioplast,"6th of October, Giza",Posted 13 days ago,59,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['AP', 'Finance', 'General Ledger', 'Accounting']"
Senior Social Media Specialist,Full Time,On-site,Macro Group,"Sheraton, Cairo",Posted 1 month ago,67,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Social Media', 'Marketing', 'E-Marketing', 'digital media', 'Digital', 'Online Marketing', 'media']"
Civil Site Engineer,Full Time,On-site,ARCOM Developments,"Giza, Egypt",Posted 18 days ago,277,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil', 'AutoCAD', '3D', 'civil 3d', 'Civil Engineering', 'Communication', 'Construction', 'Design', 'Engineering', 'Management', 'Site']"
Administrative Assistant,Full Time,On-site,Pharma Overseas,"New Cairo, Cairo",Posted 1 month ago,140,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['administrative', 'administrative assistant', 'Secretary', 'Assistant', 'Administration', 'Admin']"
Business Development Specialist,Full Time,On-site,The Edge for Real Estate,"Cairo, Egypt",Posted 2 months ago,52,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Business Administration', 'Business Development', 'Market Research', 'CRM', 'Microsoft Office', 'Marketing', 'Sales', 'sales skills', 'Communication', 'Administration', 'business']"
Accountant,Full Time,On-site,Serioplast,"6th of October, Giza",Posted 13 days ago,59,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['AP', 'Finance', 'General Ledger', 'Accounting']"
Senior Social Media Specialist,Full Time,On-site,Macro Group,"Sheraton, Cairo",Posted 1 month ago,67,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Social Media', 'Marketing', 'E-Marketing', 'digital media', 'Digital', 'Online Marketing', 'media']"
Civil Site Engineer,Full Time,On-site,ARCOM Developments,"Giza, Egypt",Posted 18 days ago,277,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil', 'AutoCAD', '3D', 'civil 3d', 'Civil Engineering', 'Communication', 'Construction', 'Design', 'Engineering', 'Management', 'Site']"
Administrative Assistant,Full Time,On-site,Pharma Overseas,"New Cairo, Cairo",Posted 1 month ago,140,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['administrative', 'administrative assistant', 'Secretary', 'Assistant', 'Administration', 'Admin']"
Business Development Specialist,Full Time,On-site,The Edge for Real Estate,"Cairo, Egypt",Posted 2 months ago,52,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Business Administration', 'Business Development', 'Market Research', 'CRM', 'Microsoft Office', 'Marketing', 'Sales', 'sales skills', 'Communication', 'Administration', 'business']"
Accountant,Full Time,On-site,Serioplast,"6th of October, Giza",Posted 13 days ago,59,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['AP', 'Finance', 'General Ledger', 'Accounting']"
Senior Social Media Specialist,Full Time,On-site,Macro Group,"Sheraton, Cairo",Posted 1 month ago,67,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Social Media', 'Marketing', 'E-Marketing', 'digital media', 'Digital', 'Online Marketing', 'media']"
Civil Site Engineer,Full Time,On-site,ARCOM Developments,"Giza, Egypt",Posted 18 days ago,277,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil', 'AutoCAD', '3D', 'civil 3d', 'Civil Engineering', 'Communication', 'Construction', 'Design', 'Engineering', 'Management', 'Site']"
Administrative Assistant,Full Time,On-site,Pharma Overseas,"New Cairo, Cairo",Posted 1 month ago,140,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['administrative', 'administrative assistant', 'Secretary', 'Assistant', 'Administration', 'Admin']"
Business Development Specialist,Full Time,On-site,The Edge for Real Estate,"Cairo, Egypt",Posted 2 months ago,52,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Business Administration', 'Business Development', 'Market Research', 'CRM', 'Microsoft Office', 'Marketing', 'Sales', 'sales skills', 'Communication', 'Administration', 'business']"
Moderator,Full Time,On-site,Mazaya,"New Cairo, Cairo",Posted 1 month ago,392,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,"['Communication', 'Communication skills', 'Content Moderation', 'Customer Service', 'moderation']"
Media Buyer,Full Time,Remote,,"Alexandria, Egypt",Posted 6 days ago,83,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Buyer', 'Communication', 'buying', 'Advertising', 'Digital Marketing', 'Marketing', 'media', 'Media Buyer', 'digital marketing', 'comscore', 'Planning', 'Social Media']"
Remote B2B Appointment Setter Caller,Full Time,Remote,,"Lynn, United States",Posted 2 months ago,56,1 open position,1 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Cold Calling', 'appointment setting', 'call center', 'Call Center', 'Inbound Calls', 'Call Assessment']"
Accountant,Full Time,On-site,Serioplast,"6th of October, Giza",Posted 13 days ago,59,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['AP', 'Finance', 'General Ledger', 'Accounting']"
