Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Senior Social Media Specialist,Full Time,On-site,Macro Group,"Sheraton, Cairo",Posted 1 month ago,67,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Social Media', 'Marketing', 'E-Marketing', 'digital media', 'Digital', 'Online Marketing', 'media']"
Civil Site Engineer,Full Time,On-site,ARCOM Developments,"Giza, Egypt",Posted 18 days ago,277,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil', 'AutoCAD', '3D', 'civil 3d', 'Civil Engineering', 'Communication', 'Construction', 'Design', 'Engineering', 'Management', 'Site']"
Administrative Assistant,Full Time,On-site,Pharma Overseas,"New Cairo, Cairo",Posted 1 month ago,140,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['administrative', 'administrative assistant', 'Secretary', 'Assistant', 'Administration', 'Admin']"
Business Development Specialist,Full Time,On-site,The Edge for Real Estate,"Cairo, Egypt",Posted 2 months ago,52,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Business Administration', 'Business Development', 'Market Research', 'CRM', 'Microsoft Office', 'Marketing', 'Sales', 'sales skills', 'Communication', 'Administration', 'business']"
Moderator,Full Time,On-site,Mazaya,"New Cairo, Cairo",Posted 1 month ago,392,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,"['Communication', 'Communication skills', 'Content Moderation', 'Customer Service', 'moderation']"
Media Buyer,Full Time,Remote,,"Alexandria, Egypt",Posted 6 days ago,83,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Buyer', 'Communication', 'buying', 'Advertising', 'Digital Marketing', 'Marketing', 'media', 'Media Buyer', 'digital marketing', 'comscore', 'Planning', 'Social Media']"
Remote B2B Appointment Setter Caller,Full Time,Remote,,"Lynn, United States",Posted 2 months ago,56,1 open position,1 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Cold Calling', 'appointment setting', 'call center', 'Call Center', 'Inbound Calls', 'Call Assessment']"
Accountant,Full Time,On-site,ghannam vet,"Nasr City, Cairo",Posted 2 months ago,155,4 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['Accounting', 'accountant', 'ERP', 'Finance', 'Commerce']"
HR Specialist,Full Time,On-site,Takhteet,"Nasr City, Cairo",Posted 12 days ago,54,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Human Resources,"['Microsoft Office', 'Human Resources (HR)', 'HR Specialist', 'HR', 'Human Resources', 'Management', 'Payroll', 'Personnel', 'Recruitment', 'HRIS', 'Labor']"
Junior Data Analyst,Full Time,On-site,Etqan Consultancy,"Cairo, Egypt",Posted 2 months ago,945,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,IT/Software Development,"['Analyst', 'Analysis', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Information Technology (IT)', 'SQL', 'Data', 'Statistics', 'Economics']"
Customer Service executive,Full Time,On-site,Egast,"Ameria, Alexandria",Posted 2 months ago,28,3 open positions,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Customer', 'Customer Service', 'Customer Care', 'Customer Support']"
Human Resources Supervisor,Full Time,On-site,English Zone,"Dokki, Giza",Posted 1 month ago,71,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Human Resources,"['Human Resources (HR)', 'HR', 'Development', 'Personnel', 'Leadership', 'Communication', 'Recruitment', 'Payroll', 'Organization Development']"
Treasury Trade Finance Officer,Full Time,On-site,Dabur,"New Cairo, Cairo",Posted 28 days ago,61,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Finance', 'Treasury', 'Treasury Accountant', 'Banking', 'SAP', 'Accounting', 'Commerce']"
Sales Executive,Full Time,On-site,Panache Chocolatier,"New Cairo, Cairo",Posted 22 days ago,5,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 15000 EGP Per Month,Sales/Retail,"['Microsoft Excel', 'Communication', 'CRM', 'Sales', 'Customer Service', 'Communication skills', 'Sales Target', 'sales skills']"
Senior QC,Full Time,Hybrid,Axon BI,"Cairo, Egypt",Posted 11 days ago,46,2 open positions,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Quality Assurance', 'QC', 'Software Testing']"
Senior social media specialist,Full Time,On-site,Mishkat Nour,"Nasr City, Cairo",Posted 1 month ago,31,1 open position,5 To 6 Years,Manager,Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Communication skills', 'Content', 'Content Creation', 'media', 'SEO', 'Social Media', 'Marketing', 'Writing', 'Editing', 'facebook', 'digital marketing', 'Communication', 'Digital Marketing', 'Creative', 'social']"
Supply Chain Specialist,Full Time,On-site,Fine seeds Int.,"Agouza, Giza",Posted 26 days ago,89,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Logistics/Supply Chain,"['Administration', 'Business Administration', 'ERP', 'Logistics', 'inventory', 'Procurement', 'Purchasing', 'Shipping', 'Supply Chain', 'Supply', 'SAP']"
Internal Auditor,Full Time,On-site,Al Andalous Pharmaceutical Industries,"Cairo, Egypt",Posted 1 month ago,61,1 open position,6 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['Auditing', 'Accounting', 'travel', 'tourism', 'Payable Accounting']"
3 D Designer,Full Time,On-site,Art Vision,"Sheraton, Cairo",Posted 19 days ago,30,1 open position,1 Year,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Design', 'AutoCAD', 'Designer', 'Adobe Photoshop', 'Engineering', 'Graphic Design', '3D Design', 'Sketchup']"
Quality Control Supervisor,Full Time,Remote,Circle K,"Nozha, Cairo",Posted 1 month ago,133,1 open position,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Quality,"['quality', 'Safety', 'Quality Control', 'Quality Assurance']"
Aluminum Projects Engineer,Full Time,Hybrid,MIT - Modern Industrial Technology,"Obour City, Cairo",Posted 27 days ago,25,2 open positions,Not Specified,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Aluminum', 'Engineering', 'Curtain Wall', 'window doors']"
Fresh Electrical Engineer,Full Time,On-site,Elsewedy industries,"10th of Ramadan City, Cairo",Posted 19 days ago,842,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['Electrical', 'Electrical Engineering', 'Power', 'Communication', 'Engineering', 'Project', 'Sales']"
MEP Sales Manager,Full Time,On-site,,"Nasr City, Cairo",Posted 1 month ago,26,1 open position,7 To 15 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['business', 'Sales', 'Sales Manager', 'sales skills', 'Sales Target']"
Accounts Payable Accountant,Full Time,On-site,Ship & C.R.E.W,"Stanley, Alexandria",Posted 18 days ago,161,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Accounting', 'Accounts Payable', 'Commerce', 'Finance', 'Payable', 'business', 'Banking', 'Payments']"
Site Engineer (Finishing Engineer),Full Time,On-site,IVEC Contracting,"Sheraton, Cairo",Posted 2 months ago,322,3 open positions,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Civil Engineering', 'Finishing Engineer', 'Construction Engineering', 'Interior Finishing', 'Site Engineering', 'AutoCAD', 'Communication', 'Communication skills', 'Construction', 'Engineering']"
Kids Supervisor,Full Time,On-site,AirZone Egypt,"6th of October, Giza",Posted 1 month ago,18,20 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Training/Instructor,"['Entertainment', 'instructor', 'Kids Supervisor', 'Kids Area', 'Tramploline', 'Fitness', 'Education', 'Teaching']"
Sales Representative (Indoor),Full Time,On-site,Mahmoud Electric,"Downtown, Cairo",Posted 28 days ago,16,2 open positions,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, KPI'S And Annual Profit Share",Sales/Retail,"['Sales', 'CRM', 'ERP']"
Sales Manager,Full Time,On-site,ITALIAN KITCHEN,"Jazan, Saudi Arabia",Posted 28 days ago,161,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,"Confidential, Commission And Bonus",Business Development,"['business', 'Administration', 'Customer Service', 'Management', 'People Management', 'Sales', 'Sales Manager', 'sales skills', 'Sales Target', 'Skills', 'Business Administration', 'MBA']"
E-Learning Development and Digital Content,Full Time,On-site,Taeseer,"Cairo, Egypt",Posted 2 months ago,18,1 open position,3 To 5 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Writing/Editorial,"['Communication', 'Communication skills', 'Content', 'E-Learning', 'Project Management', 'Social Media', 'E-Marketing', 'Digital Marketing', 'Business Administration']"
Presales Manager,Full Time,Remote,MOBILY INFOTECH LTD INDIA,"Cairo, Egypt",Posted 12 days ago,20,1 open position,14 To 16 Years,Manager,Not Specified,Confidential,IT/Software Development,"['Information Technology (IT)', 'Presales']"
IT AM/Manager (MacOS),Full Time,On-site,Intouch CX,"Sheikh Zayed, Giza",Posted 19 days ago,41,1 open position,3 To 7 Years,Manager,Bachelor'S Degree,Confidential,IT/Software Development,"['Information Technology (IT)', 'IT', 'Computer Science', 'MacOS']"
Receptionist,Full Time,On-site,DC Auto,"Maadi, Cairo",Posted 1 month ago,83,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Receptionist",Administration,"['Admin', 'Administration', 'receptionist', 'Office management', 'Microsoft Office', 'Management', 'Front Office', 'Office Equipment']"
Senior Backend Developer,Full Time,On-site,V.connct,"Giza, Egypt",Posted 4 days ago,43,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,30000 To 40000 EGP Per Month,IT/Software Development,"['backend', 'Backend developer', 'Software Engineering', 'senior', 'Computer Science', 'Information Technology (IT)', 'Software Development']"
Key Account Manager-Skin Care Expert,Full Time,On-site,Mazaya,"Cairo, Egypt",Posted 1 month ago,29,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Operations/Management,"['Communication', 'Customer Care', 'Customer Service', 'Negotiation', 'Sales', 'sales skills', 'Skills']"
Motion Graphic Designer,Full Time,On-site,qTech.,"Mansoura, Dakahlia",Posted 10 days ago,21,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['3D', 'Adobe After Effects', 'Adobe Photoshop', 'Adobe illustrator', 'After Effects', 'Adobe Premiere', 'Cinema 4D', 'Design', 'Graphic Design', 'Motion Graphics', 'Creative', 'Animation']"
General Accountant,Full Time,On-site,,"Sidi Gaber, Alexandria",Posted 13 days ago,172,2 open positions,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonus",Accounting/Finance,"['Accounting', 'CMA', 'CPA', 'excel', 'Finance', 'Financial Analysis', 'Financial Management', 'Accounting Software', 'MS', 'General Ledger']"
"BIM Electrical Engineer (Power, Lighting, ICT, Fire Alarm)",Full Time,Remote,Meta Vision,"6th of October, Giza",Posted 4 days ago,11,1 open position,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['BIM', 'BIM Modeling', 'Revit BIM', 'Autodesk Revit', 'Revit', 'Revit MEP', 'AutoCAD', 'AutoCAD Design', 'AutoCAD 2D', 'AutoCAD Software', 'Autodesk Autocad', 'AutoCAD MEP', 'Autocad Electrical', 'Fire Detection', 'Lighting', 'Lighting Design', 'Electrical Engineering', 'Electrical Design Engineering', '', '', '', '', '', '', '', '', '', '', '']"
Receptionist,Full Time,On-site,Joy spaces,"Downtown, Cairo",Posted 2 months ago,44,5 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commiosions And Bonuses",Hospitality/Hotels/Food Services,"['Front Office', 'Communication', 'Microsoft Office', 'receptionist', 'Skills', 'Customer Support', 'Customer Care', 'Team Leadership']"
Application Support Specialist,Full Time,On-site,Nile University,"Sheikh Zayed, Giza",Posted 18 days ago,38,1 open position,3 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,"['Customer Support', 'English', 'Hardware', 'Information Technology (IT)', 'Science', 'Software', 'Application Support', 'computer', 'Computer Science', 'Customer Care', 'Customer Service', 'ERP']"
Senior Talent Acquisition Specialist,Full Time,On-site,Ejad,"Nasr City, Cairo",Posted 2 months ago,125,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['Human Resources (HR)', 'Interviewing', 'Talent', 'Talent acquisition', 'Recruitment', 'Software', 'Development', 'Health Care', 'Human Resources', 'Training', 'Communication']"
Senior NET Developer,Full Time,On-site,Integrated Technology Group,"Heliopolis, Cairo",Posted 24 days ago,40,6 open positions,3 To 6 Years,Experienced (Non-Manager),Not Specified,25000 To 35000 EGP Per Month,IT/Software Development,"['.net Developer', 'developer', 'Information Technology (IT)', 'Software Development', 'Software Engineering', 'senior', 'NET', 'Computer Science', '.Net']"
Senior Accountant,Full Time,On-site,Gulfmed Egypt,"Maadi, Cairo",Posted 2 months ago,238,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Accounting/Finance,"['business', 'Finance', 'Accounting']"
Digital Marketing Section Head,Full Time,On-site,,"Maadi, Cairo",Posted 1 month ago,48,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['digital marketing', 'Digital', 'Google Analytics', 'SEM', 'SEO', 'Social Media', 'Marketing', 'Management', 'Digital Marketing', 'Communication skills', 'Business Administration']"
Employee Benefits - Account Manager,Full Time,On-site,Allianz,"New Cairo, Cairo",Posted 2 months ago,31,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Business Development,"['Account Management', 'Business Management', 'Employee Relations', 'Corporate Sales', 'Management', 'General Surgery', 'Internal medicine', 'Sales']"
Electrical Maintenance Engineer,Full Time,On-site,ContrackFM,"6th of October, Giza",Posted 1 month ago,89,1 open position,2 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['Facility Management', 'facility engineer', 'Maintenance', 'Electrical Engineering', 'Manufacturing', 'Mechanical Engineering', 'Safety', 'Engineering']"
Junior Structural BIM Engineer,Full Time,On-site,SEVEN HANDS for Engineering Services and Construction,"Dokki, Giza",Posted 2 months ago,68,2 open positions,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Civil Engineering', 'BIM', 'structural', 'Structural Engineering', 'Communication']"
Senior Reinsurance Specialist,Full Time,On-site,Allianz,"New Cairo, Cairo",Posted 1 month ago,24,1 open position,0 To 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Other,"['Insurance', 'Reinsurance', 'English', 'Computer Skills']"
Fixed Assets& GL Accountant,Full Time,On-site,GB Corp,"Obour City, Cairo",Posted 1 month ago,149,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,"Confidential, Annual Bouns",Accounting/Finance,"['Accounting', 'Finance', 'Financial Management', 'Financial Analysis']"
Kids/Teens Instructor,Part Time,On-site,Berlitz Egypt,"Madinaty, Cairo",Posted 14 days ago,6,8 open positions,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Education/Teaching,"['Education', 'Instructor', 'Teaching', 'Training', 'English', 'Kids Teaching', 'Teens']"
IT E-Commerce Lead,Full Time,Hybrid,Xceed Contact Center,"Cairo, Egypt",Posted 1 month ago,19,1 open position,5 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,"['Computer Science', 'JavaScript', 'CSS', 'E-Commerce', 'HTML', 'Information Technology (IT)', 'Magento', 'Software Development', 'Web Design', 'IT']"
Sales Executive insurance,Full Time,On-site,Saya Brokerage,"Maadi, Cairo",Posted 2 months ago,28,3 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, 30%",Business Development,"['Sales', 'Prospecting', 'Sales Target', 'Insurance Sales', 'sales skills']"
Call Center Team Leader,Full Time,On-site,Tarabot Express,"Abbassia, Cairo",Posted 1 day ago,17,2 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,12000 To 15000 EGP Per Month,Customer Service/Support,"['Call Center', 'Customer Care', 'Customer Support', 'team leader', 'Team Leading', 'Communication']"
Telesales Representative,Full Time,On-site,Pro Valley,"New Cairo, Cairo",Posted 2 months ago,13,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commission + Incentive",Sales/Retail,"['Indoor Sales', 'Telesales', 'Communication skills', 'sales skills', 'Telesales representative', 'Customer Service', 'Communication', 'MS Office', 'MS', 'Sales']"
Technical Support Agent - English,Full Time,On-site,Intouch CX,"Sheikh Zayed, Giza",Posted 2 days ago,Be the First to Apply,,More Than 1 Year,Experienced (Non-Manager),Bachelor'S Degree,20000 To 28000 EGP Per Month,Customer Service/Support,"['Customer Care', 'Customer Support', 'Communication', 'CRM Systems', 'CRM', 'Customer', 'Customer Service', 'Information technology', 'Support', 'Help desk', 'English language', 'C1', 'Technical Support']"
Warehouse Section Head,Full Time,On-site,Midea Group,"6th of October, Giza",Posted 16 days ago,52,1 open position,6 To 8 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Operations/Management,"['Administration', 'ERP', 'Management']"
IT Director,Full Time,On-site,,"Nasr City, Cairo",Posted 2 months ago,171,1 open position,7 To 10 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,"Confidential, Quarterly Bonus Based On KPIs",IT/Software Development,"['Computer Science', 'Information Technology (IT)', 'IT Director', 'Information technology', 'Cloud Computing', 'Management']"
