Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Graphic Designer ( Paid Internship ),Internship,On-site,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo",Posted 1 month ago,178,8 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Paid,Creative/Design/Art,"['Adobe illustrator', 'Adobe Photoshop', 'Applied Arts', 'Communication', 'Arts', 'Computer Skills', 'Design', 'Graphic Design', 'Visual', 'Fine Arts']"
Public Relation Officer,Full Time,On-site,Korea Hydro Nuclear Power co.LTD (KHNP),"Dabaa, Matruh",Posted 3 days ago,99,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Administration,"['Public Relations (PR)', 'English']"
Sales & Marketing Executive,Full Time,On-site,Gigantic,"Giza, Egypt",Posted 27 days ago,22,2 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Business Development,"['B2B', 'B2B Sales', 'Sales Target', 'Sales', 'sales skills', 'Communication', 'Negotiation', 'business', 'E-Commerce', 'Marketing', 'Commerce']"
HR Generalist - Factory,Full Time,On-site,Electrolux,"10th of Ramadan City, Sharqia",Posted 2 months ago,117,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['Human Resources (HR)', 'HR', 'HR Generalist', 'HR Advisor', 'HR Specialist', 'HR Factories']"
Technical Office Engineer,Full Time,On-site,PRO-TEC Egypt,"Sheraton, Cairo",Posted 2 months ago,19,2 open positions,2 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonus",Engineering - Mechanical/Electrical,"['Fire Protection', 'Electrical Engineering', 'Mechanical Engineering', 'Microsoft Office', 'AutoCAD', 'Fire Alarm', 'Shop Drawings', 'Fire Fighting', 'Technical Office', 'Gas Suppression Systems', 'Sprinkler Systems', 'Foam Systems', 'Engineering', 'Drawings', 'Electrical', 'Mechanical', 'FM-200', '', '']"
MEP Technical Office Team Leader,Full Time,On-site,REDCON Construction Co. S.A.E,"Allamein, Matruh",Posted 9 days ago,17,1 open position,8 To 11 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonus",Engineering - Mechanical/Electrical,"['MEP', 'Technical Office', 'AutoCAD', 'shop drawing', 'Technical Office Engineering']"
Senior Recruitment Specialist,Full Time,On-site,,"Sheikh Zayed, Giza",Posted 2 months ago,28,1 open position,6 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,14000 To 16500 EGP Per Month,Hospitality/Hotels/Food Services,"['Human Resources (HR)', 'Personnel', 'Administration', 'Human Resources', 'Sourcing', 'Interviewing', 'Competency Based Interview (CBI)']"
HSE Specialist,Full Time,On-site,AluNile,"6th of October, Giza",Posted 24 days ago,176,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Medical Insurance, Bonus",Quality,"['HSE', 'Engineering', 'OSHA', 'First Aid', 'Risk Assessment', 'Fire Fighting', 'Scaffolding', 'Construction', 'Science', 'Health, Safety and Environment', 'Environment, Health, and Safety', 'Occupational Safety and Health Administration (OSHA)', 'Manufacturing Industry', 'Industrial Engineering', 'Steel Industry', '', '', '', '']"
Sales Engineer (Radiology Devices) - Minya or Beni Suef,Full Time,Hybrid,Alfa Healthcare Egypt,"Minya, Egypt",Posted 12 days ago,5,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Medical Insurance, Social Insurance, Paid Mobile Bill And Commission",Medical/Healthcare,"['Biomedical', 'Biomedical Engineering', 'Sales', 'sales skills', 'Sales Target', 'B2B', 'Medical Sales', 'Medical Devices Sales', 'Medical Equipment', 'Medical Supplies', 'Negotiation', 'Customer Care', 'Customer Relations', 'Market Research', 'Communication']"
Learning & Development Specialist - QA,Full Time,On-site,InstaShop,"Katameya, Cairo",Posted 12 days ago,21,1 open position,1 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Operations/Management,"['Training of Trainers', 'Training Management', 'Quality Assurance', 'Customer Support', 'Communication skills', 'Education', 'English', 'Business Development', 'Training Needs Analysis']"
"Senior Category Manager, Marketplace",Full Time,On-site,B.TECH,"Nasr City, Cairo",Posted 2 months ago,21,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Other,"['Category Management', 'sda', 'electronics', 'laptops', 'marketplace', 'digital commerce', 'E-Commerce', 'seller management']"
Cost Control Team Leader,Full Time,On-site,GMC,"Cairo, Egypt",Posted 2 months ago,21,1 open position,7 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Cost Control', 'Cost Estimation']"
Sales Representative (Fresh Graduates and Entry Level),Full Time,On-site,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo",Posted 26 days ago,9,1 open position,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,"['Communication', 'Communication skills', 'computer', 'CRM', 'Customer Service', 'English', 'Negotiation', 'Sales', 'sales skills', 'Sales Target', 'Skills', 'Transportation']"
General Accountant,Full Time,On-site,Al Asdekaa Group for Dairies Production and Trading,"Sidi Gaber, Alexandria",Posted 1 day ago,53,2 open positions,2 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Accounting/Finance,"['Accounting', 'Finance', 'ERP System']"
HR Specialist,Full Time,On-site,Value Development,"Mokattam, Cairo",Posted 1 month ago,50,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Human Resources,"['Human Resources', 'Personnel', 'Labor', 'Microsoft Office', 'Business Administration']"
Senior Graphic Designer,Full Time,On-site,تكامل المتقدمه العقاريه بالرياض - Takamol Advanced,"Maadi, Cairo",Posted 2 months ago,127,1 open position,3 To 9 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['Adobe illustrator', 'Adobe Photoshop', 'Design', 'Arts', 'dreamweaver', 'Graphic', 'Graphic Design', 'indesign', 'Software', 'photoshop', 'illustrator', 'Fine Arts']"
Junior Full Stack Developer (.NET and Angular),Full Time,Hybrid,DEVOPSOLUTION,"Nasr City, Cairo",Posted 1 month ago,387,2 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,"['Cloud', 'Communication skills', 'Computer Science', 'Design', 'Information Technology (IT)', 'JavaScript', 'Management', 'Software Development', 'Angular', 'API', 'Git', 'HTML', 'JSON', 'Programming', 'SQL', 'MVC', 'Agile', 'Software']"
Junior Pre- Sales Executive,Full Time,Remote,EMOTIV Corp,"Cairo, Egypt",Posted 9 days ago,18,3 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Comissions And Bonuses",Business Development,"['Business Development', 'Lead Generation', 'CRM', 'Sales', 'sales skills', 'Prospecting', 'Cold Calling', 'Ecommerce', 'ebay', 'online marketplace', 'Presentation', 'Sales Target', 'Healthcare', 'Communication']"
Telesales Agent,Full Time,On-site,Design Concept,"Heliopolis, Cairo",Posted 10 days ago,15,3 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Fixed Salary + Bonus",Customer Service/Support,"['Telesales', 'Sales', 'Negotiation', 'negotiation skills', 'sales skills', 'Customer']"
Landscape Site Engineer,Full Time,On-site,Botanica Landscapes,"6th of October, Giza",Posted 12 days ago,22,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Architecture', 'Engineering', 'Construction', 'Site Planning', 'Design', 'Landscape']"
Sr. SEO/Search Engine Optimization Specialist (Part-Time),Freelance / Project,Remote,Nahr Development,"Mokattam, Cairo",Posted 7 days ago,13,1 open position,5 To 20 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,IT/Software Development,"['SEO', 'Google Analytics', 'Content Management', 'WordPress', 'Search Engine', 'sales skills', 'Content']"
Science Teacher,Full Time,On-site,Elite Education Group,"Shorouk City, Cairo",Posted 12 days ago,15,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Education/Teaching,"['Education', 'Teaching', 'Science', 'International School']"
Senior Digital Marketing Specialist,Full Time,On-site,,"Katameya, Cairo",Posted 6 days ago,11,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Digital', 'Digital Marketing', 'digital marketing', 'digital media', 'Marketing', 'media', 'SEO', 'social', 'Social Media', 'Google Analytics', 'Google Ads', 'E-Marketing', 'Content']"
Fluent Outbound Survey Agent,Full Time,On-site,Gulf Data International,"Sheraton, Cairo",Posted 27 days ago,27,100 open positions,Not Specified,Student (Undergrad / Postgrad),High School (Or Equivalent),"12000 To 20000 EGP Per Month, Social & Medical Insurance Applied Commission & KPIS",Hospitality/Hotels/Food Services,"['Customer Care', 'Customer Service', 'Customer Support', 'Fluent in English', 'Sales', 'English', 'Telesales', 'Outbound', 'Survey']"
Sales Team Leader - Real Estate,Full Time,On-site,iproperties,"New Cairo, Cairo",Posted 2 days ago,11,2 open positions,5 To 7 Years,Manager,Bachelor'S Degree,"Confidential, Commission + Social & Medical Insurance",Business Development,"['Real Estate', 'Management', 'Sales', 'Leadership Skills', 'Presentation Skills', 'Sales Skills', 'Sales Target', 'Negotiation Skills', 'Team Leading', 'Training', 'Leadership', 'Brokerage', 'Communication']"
Financial Analyst,Full Time,On-site,,"Zamalek, Cairo",Posted 10 days ago,67,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Accounting/Finance,"['Accounting', 'Financial Forecasting', 'Analysis', 'Finance', 'Financial Analysis', 'Reporting', 'Analyst']"
Payroll Executive,Full Time,On-site,Elabd Foods,"Abu Rawash, Giza",Posted 2 months ago,46,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,"Confidential, Bonus, Medical Insurance, Profit Share",Accounting/Finance,"['Human Resources (HR)', 'Payroll', 'Compensation', 'Benefits Management']"
Arabic Teacher for high school,Full Time,On-site,Al-Andalus International School,"New Cairo, Cairo",Posted 2 months ago,38,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Transportation Social Insurance",Education/Teaching,"['Education', 'Teaching']"
Operator,Full Time,On-site,BCD-EWT,"Heliopolis, Cairo",Posted 17 days ago,13,3 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Tourism/Travel,"['Tourism', 'Travel', 'English', 'Communication skills', 'Transportation', 'Customer Service', 'Communication', 'Customer Support', 'CRM', 'Holidays', 'Logistics', 'Management']"
Design Engineer,Full Time,On-site,MOG Group,"Nasr City, Cairo",Posted 5 days ago,29,3 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['design engineer', 'Applied Arts', 'Civil Engineering', 'CAD', 'SolidWorks', 'Design', 'Engineering']"
Project Manager - North Coast Project,Full Time,On-site,,"North Coast, Alexandria",Posted 3 days ago,44,1 open position,18 To 20 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Architecture', 'Civil Engineering', 'Construction', 'Engineering', 'Management', 'PMP', 'Project', 'Project Management']"
Social Media Specialist,Part Time,Remote,Jawwid Academy,"Cairo, Egypt",Posted 1 month ago,104,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Marketing', 'social media specialist', 'Social Media', 'media', 'E-Marketing', 'Communication', 'Digital', 'digital media']"
Electrical Maintenance Section Head,Full Time,On-site,,"Noubaria, Beheira",Posted 1 month ago,44,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Male,Engineering - Construction/Civil/Architecture,"['Electrical Engineering', 'Engineering', 'Maintenance', 'Maintenance Engineering']"
Receptionist - Secretary,Full Time,On-site,Yat Learning Centers,"Heliopolis, Cairo",Posted 2 months ago,244,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,"['Admin', 'Customer Service', 'Reception']"
HSE Safety Specialist,Full Time,On-site,As-Salam International Hospital,"Maadi, Cairo",Posted 2 months ago,127,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Hospitality/Hotels/Food Services,"['HSE', 'NIOSH', 'OSHA', 'Health', 'Safety', 'Engineering', 'Science', 'quality']"
Senior Approval Doctor,Full Time,On-site,UNICARE Medical Care & Centers,"Dokki, Giza",Posted 10 days ago,38,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Medical/Healthcare,"['Approvals', 'Insurance', 'Medical approvals', 'MEDICINE', 'Surgery', 'Doctor']"
Bilingual Customer Service Advisor,Full Time,On-site,Innovative Working Solutions,"Cairo, Egypt",Posted 12 days ago,5,3 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,20200 To 20200 EGP Per Month,Customer Service/Support,"['Call Center', 'Customer Care', 'Spanish', 'English', 'Customer Support', 'Customer Service']"
Innovation Hub Supervisor,Full Time,On-site,Nile University,"Sheikh Zayed, Giza",Posted 21 days ago,11,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Engineering - Other,"['Information Technology (IT)', 'Computer Science', 'Innovation']"
Software Developer,Full Time,On-site,Nile University,"Sheikh Zayed, Giza",Posted 6 days ago,100,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Agile', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Java', 'MySQL', 'Programming', 'Python', 'Software Development', 'Software', 'Software Engineering', 'SQL']"
HSE Manager,Full Time,On-site,,"Maadi, Cairo",Posted 20 days ago,176,1 open position,8 To 10 Years,Manager,Not Specified,"Confidential, Medical& Social Insurance.",R&D/Science,"['HSE', 'Engineering', 'NEBOSH', 'ISO', 'Safety Management', 'Health And Safety', 'Science', 'Health', 'Environmental Management', 'quality', 'Safety', 'Management']"
Junior Accountant,Full Time,On-site,Raissyon for Engineering & Technology,"New Cairo, Cairo",Posted 1 month ago,302,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['Accounting', 'accountant', 'Finance', 'ERP', 'Junior Accountant']"
Senior Graphic Designer,Full Time,On-site,,"Sheraton, Cairo",Posted 1 month ago,42,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['Adobe Photoshop', 'Adobe Premiere', 'Creative', 'Design', 'Graphic Design', 'photoshop', 'After Effects', 'Software', 'Leadership skills', 'Information Technology (IT)', 'adobe', 'Adobe illustrator', 'Web Development', 'illustrator']"
Operations Specialist,Full Time,On-site,Mazzika Group,"Dokki, Giza",Posted 25 days ago,34,2 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,"['Operations', 'Customer Support', 'Media', 'Microsoft Excel', 'Digital Operations', 'Digital', 'Communication Skills', 'Music Application', 'Youtube', 'English', 'Arabic', 'Music', 'Internet', 'Web', 'Social Media', 'anghami', 'spotify', 'instagram']"
