Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
School Head of Admissions,Full Time,On-site,Egypt Education Platform,"Riyadh, Saudi Arabia",Posted 27 days ago,48,1 open position,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Marketing', 'School', 'Education']"
Senior Backend Developer,Full Time,Hybrid,RocketDevs,"Cairo, Egypt",Posted 1 month ago,12,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Software Development', 'Ruby', 'Ruby on Rails', 'Infrastructure Engineering', 'Computer Science', 'Software Engineering', 'Web Development', 'API']"
Civil Engineer,Full Time,On-site,SAAB Engineering Consulating Office,"Agouza, Giza",Posted 23 days ago,74,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Civil Engineering', 'Design', 'Communication', 'Site', 'Engineering', 'Civil', 'civil 3d', 'Construction', 'Management', '3D']"
Senior Tendering Engineer,Full Time,On-site,REDCON Construction Co. S.A.E,"Cairo, Egypt",Posted 1 month ago,50,4 open positions,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Civil', 'tender', 'Engineering', 'Tendering']"
Senior Android Developer,Full Time,Hybrid,Fixed Solutions,"Cairo, Egypt",Posted 3 days ago,32,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Android', 'APIs', 'Software Engineering', 'Software Development', 'UI', 'Information Technology (IT)', 'Design', 'Computer Science', 'Engineering', 'Debugging', 'Testing']"
Accountant,Full Time,On-site,Creative Motion,"Maadi, Cairo",Posted 2 months ago,104,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Accounting/Finance,"['Accounting', 'Accounting Software', 'excel', 'Finance', 'Financial Analysis', 'Financial Management', 'MS Excel', 'General Ledger', 'GAAP', 'Financial']"
Senior Accountant,Full Time,On-site,Integrity Accounting Services,"Dubai, United Arab Emirates",Posted 17 days ago,333,1 open position,More Than 1 Year,Experienced (Non-Manager),Bachelor'S Degree,7000 To 8000 AED Per Month,Accounting/Finance,"['Accounting', 'Communication', 'Budgeting', 'CPA', 'Finance', 'Financial Analysis', 'Financial Management', 'Financial', 'Accounting principles', 'Financial Modeling', 'accountant']"
Talent Acquisition Specialist,Full Time,On-site,,"New Cairo, Cairo",Posted 20 days ago,45,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Applicant Tracking Systems', 'Communication', 'Human Resources', 'Human Resources (HR)', 'human resources management', 'Interviewing', 'Management']"
Civil Engineer,Full Time,On-site,ContrackFM,"Giza, Giza",Posted 2 months ago,21,2 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Communication', 'AutoCAD', 'civil 3d', 'Civil Engineering', 'Construction', 'Engineering', 'Management', 'Design', 'Civil', 'Architecture', '3D', 'Site']"
Senior Strategy & Marketing Consultant,Full Time,Hybrid,,"New Cairo, Cairo",Posted 1 month ago,27,1 open position,15 To 20 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Strategy/Consulting,"['Strategy', 'Consulting', 'business', 'Business Administration', 'Communication', 'Communication skills', 'Digital', 'Digital Marketing', 'digital marketing', 'Market Research', 'Marketing']"
Finance Manager,Full Time,On-site,Global Professional Services GPS,"New Cairo, Cairo",Posted 1 month ago,210,1 open position,7 To 10 Years,Manager,Not Specified,Confidential,Accounting/Finance,"['Finance', 'finance manager', 'Financial Analysis', 'Financial Management']"
Financial Director,Full Time,On-site,,"Sheraton, Cairo",Posted 2 months ago,225,1 open position,3 To 5 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,"['Accounting', 'Communication', 'Corporate Finance', 'Finance', 'Financial', 'Financial Analysis', 'Financial Management']"
Call Center Agent,Full Time,Hybrid,Energienetze,"Cairo, Egypt",Posted 14 days ago,23,1 open position,1 To 20 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,25000 To 30000 EGP Per Month,Customer Service/Support,"['B2', 'Call Center', 'Customer Service', 'Customer Support', 'pc', 'TeamPlayer', 'Leads', 'Customer', 'Customer Care', 'Development', 'german', 'German Language', 'German language']"
local Purchasing Specialist,Full Time,On-site,Luna Pac,"6th of October, Giza",Posted 1 month ago,134,1 open position,1 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['ERP', 'Oracle', 'Purchasing', 'Procurement', 'Supply Chain']"
Industrialization Engineer,Full Time,On-site,,"10th of Ramadan City, Sharqia",Posted 20 days ago,8,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Research & Developments', 'Ceramics & Wellness', 'Business Development', 'English', 'Market Research', 'Microsoft Office', 'Black Belt in cross functional risk analysis', 'ERP', 'Development', 'Engineering', 'Analysis']"
junior receptionist,Full Time,On-site,Rident Dental Center,"Heliopolis, Cairo",Posted 27 days ago,55,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,7000 To 10000 EGP Per Month,Administration,"['Computer Science', 'hotel', 'Administration']"
Administrative Assistant (Gharbia),Full Time,On-site,Aktan Misr,"Mahalla Kubra, Gharbia",Posted 2 months ago,46,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,"['Administration', 'Secretary', 'Time Management', 'Office management', 'Communication', 'Management', 'Microsoft Office', 'administrative assistant', 'administrative', 'Assistant', 'Business Administration', 'office', 'personal assistant']"
Junior Production Engineer,Full Time,On-site,Delta Egypt For Lighting,"Obour City, Cairo",Posted 16 days ago,121,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Manufacturing/Production,"['Mechanical Engineering', 'Manufacturing', 'Communication skills', 'Production', 'CNC', 'Production Engineering', 'AutoCAD', 'CNC Machine']"
HR Specialist,Full Time,On-site,stack technologies egypt,"Sheraton, Cairo",Posted 2 months ago,89,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,9000 To 12000 EGP Per Month,Human Resources,"['Communication skills', 'Human Resources (HR)', 'Communication', 'Human', 'Human Resources', 'human resources management', 'Labor', 'Management', 'Microsoft Office', 'Payroll', 'Personnel', 'Recruitment']"
Sales Product Engineer,Full Time,On-site,Smart Technology Solutions,"Sheraton, Cairo",Posted 1 month ago,7,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Family Medical Insurance. Annual Education Budget To Attend Trainings, Courses, Or Conferences Of Your Choice AND A Udemy Business Account.",Sales/Retail,"['Product', 'CRM', 'Sales', 'sales skills', 'Sales Target', 'Cloud', 'Communication', 'Communication skills', 'Product Management', 'Cybersecurity']"
E-Commerce Senior Specialist,Full Time,On-site,Keys Group Services,"Cairo, Egypt",Posted 19 days ago,21,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Media/Journalism/Publishing,"['E-Marketing', 'Ecommerce']"
Treatment Planning Designer,Full Time,Hybrid,K Line Europe,"Cairo, Egypt",Posted 1 month ago,45,4 open positions,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['Dental', 'Dentistry', 'designing', 'Treatment Planning', 'Orthodontics', 'Aligners']"
Full Stack Team Lead (.Net & Angular),Full Time,Hybrid,DEVOPSOLUTION,"Nasr City, Cairo",Posted 26 days ago,34,1 open position,7 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['.Net', 'Angular', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Agile', 'ASP.Net', 'Design', 'Git', 'MVC']"
Oracle Apex Developer,Full Time,Hybrid,National Technology,"Nasr City, Cairo",Posted 1 month ago,38,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Family Medical Insurance",Installation/Maintenance/Repair,"['APEX', 'Computer Science', 'CSS', 'Information Technology (IT)', 'Oracle', 'Oracle APEX', 'Software Development', 'SQL', 'PL']"
MRP Engineer,Full Time,On-site,Multi M Group,"khanka, Qalubia",Posted 2 months ago,22,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Engineering', 'MRP', 'Mechanical Engineering', 'Planning', 'SAP', 'Production']"
Production Manager - Home Appliances Only,Full Time,On-site,Tredco,"10th of Ramadan City, Sharqia",Posted 1 month ago,106,1 open position,10 To 15 Years,Manager,Not Specified,Confidential,Operations/Management,"['Home appliances', 'Engineering', 'Industry', 'Management', 'Manufacturing', 'Production']"
Senior Frontend Developer,Full Time,On-site,النورس للتجاره,"New Nozha, Cairo",Posted 4 days ago,16,1 open position,4 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Angular', 'Computer Science', 'Design', 'Git', 'CSS', 'HTML', 'Information Technology (IT)', 'JavaScript', 'React', 'Software Development', 'Software Engineering', 'UI', 'AI', 'UX', 'UX Design']"
Electrical Engineer,Full Time,On-site,Badawy - BEECO,"10th of Ramadan City, Cairo",Posted 1 month ago,73,1 open position,5 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,"['Manufacturing', 'Electrical Engineering', 'Engineering', 'Microsoft Office', 'Safety']"
Export Sales Manager (Fresh Fruits/Vegetables),Full Time,On-site,First Choice,"6th of October, Giza",Posted 2 months ago,38,3 open positions,More Than 5 Years,Manager,Bachelor'S Degree,Confidential,Business Development,"['Export Sales', 'Export', 'Export Development', 'Sales Plan', 'Sales Manager', 'Administration', 'business', 'Business Administration', 'Sales', 'sales skills', 'Sales Target']"
Senior Mechanical Technical Office Engineer,Full Time,On-site,Al-Alama Contracting & Supplies,"6th of October, Giza",Posted 9 days ago,44,1 open position,8 To 12 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['Mechanical Engineering', 'Engineering', 'AutoCAD', 'Revit', 'English', 'Microsoft Office']"
Production Officer,Full Time,On-site,Dabur,"10th of Ramadan City, Cairo",Posted 2 months ago,27,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,"['FMCG', 'Engineering', 'Production']"
Mechanical Site Engineer (Firefighting & MEP),Full Time,On-site,Fire Home supplies,"Helwan, Cairo",Posted 4 days ago,47,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Firefighting System', 'Firefighting', 'Engineering', 'HVAC', 'Maintenance', 'Revit', 'Communication skills', 'Construction', 'Design', 'Mechanical', 'Mechanical Engineering', 'HVAC Systems', 'Fire Protection Engineering', 'Reporting', 'Microsoft Office', 'Manufacturing']"
Lab Material Admin - New Capital,Full Time,On-site,Grifols Egypt for Plasma Derivatives,"New Capital, Cairo",Posted 19 days ago,11,1 open position,2 To 7 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,"['Microsoft Office', 'SAP']"
Software Project Manager,Full Time,Hybrid,Digital Plus Technology,"Cairo, Egypt",Posted 21 days ago,102,1 open position,More Than 5 Years,Manager,Bachelor'S Degree,Confidential,IT/Software Development,"['Agile', 'business', 'Computer Science', 'Information Technology (IT)', 'Management', 'PMP', 'Project Management', 'Software Development', 'Software', 'Planning', 'Communication', 'Engineering']"
Sales Coordinator,Full Time,On-site,Silicon21,"Nasr City, Cairo",Posted 20 days ago,29,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Social Insurance Medical Insurance",Customer Service/Support,"['Sales Coordination', 'Administration']"
Export Executive,Full Time,Remote,Asala food Company,"Cairo, Egypt",Posted 24 days ago,30,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['FMCG', 'Export', 'English', 'Import', 'Logistics', 'Supply Chain']"
HR Application Manger,Full Time,On-site,A1Softech,"Maadi, Cairo",Posted 1 month ago,37,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Strategy/Consulting,"['HR Systems', 'HR', 'HRIS', 'HR Application']"
Technical Suport Engineer,Full Time,On-site,Arma-HSA,"New Cairo, Cairo",Posted 2 months ago,74,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['IT', 'Information Technology (IT)', 'Engineering', 'Computer Science']"
Accountant - Female - Zaher,Full Time,On-site,El-Dahan Company,"Zaher, Cairo",Posted 1 month ago,21,2 open positions,More Than 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Accounting/Finance,"['Accounting', 'excel', 'Microsoft Office', 'ERP', 'Account Management', 'Payable Accounting', 'Accounts Receivable', 'Cost Control', 'English', 'Commerce', 'Communication']"
Export Sales,Full Time,On-site,Outservingplus,"New Nozha, Cairo",Posted 3 days ago,8,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,"['Export', 'Logistics', 'Sales', 'English', 'sales skills']"
Electrical Maintenance Engineer,Shift Based,On-site,,"6th of October, Giza",Posted 1 month ago,122,1 open position,0 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Installation/Maintenance/Repair,"['Electrical Engineering', 'Engineering', 'Maintenance', 'Manufacturing', 'PLC', 'technical', 'English', 'equipment']"
Sales & Technical Support Engineer,Full Time,On-site,Egyptian Packaging and Plastic Systems Corp,"Manial, Cairo",Posted 1 month ago,19,3 open positions,2 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Sales/Retail,"['Mechatronics', 'Electrical', 'Engineering', 'Information Technology (IT)', 'sales skills', 'Sales', 'Mechanical', 'Technical Sales', 'Electronics', 'Engineering Field', 'Engineering Service', 'Electrical Engineering', 'Electronics Engineering', 'Electronic Engineering', '', '', '', '', '', '', '', '', '']"
Electrical Site Engineer,Full Time,On-site,Modern Controls,"Giza, Egypt",Posted 6 days ago,39,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['Electrical', 'Electrical Site']"
Software Developer,Full Time,On-site,AppDrawn,"New Cairo, Cairo",Posted 2 months ago,46,2 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,"500 To 1200 GBP Per Month, Social Insurance And Medical Insurance",IT/Software Development,"['MVC', 'React.js', 'CSS', 'Next.js', 'Computer Science', 'Development', 'Docker', 'English', 'Git', 'Software Development', 'Information Technology (IT)']"
Medical Representative - October,Full Time,Hybrid,El Nahar for Medical Solutions,"6th of October, Giza",Posted 12 days ago,6,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Medical/Healthcare,"['Agriculture', 'Commerce', 'Communication', 'Communication skills', 'Medical', 'Pharmacy', 'Sales', 'sales skills', 'Science', 'Skills']"
Sales & Marketing Engineer,Full Time,On-site,Proserve For Electromechanical Works,"New Cairo, Cairo",Posted 11 days ago,9,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"15000 To 25000 EGP Per Month, Extra Commission Starting From 1%",Marketing/PR/Advertising,"['Electrical Engineering', 'Sales', 'Sales Target', 'sales skills', 'Marketing', 'Communication', 'Electrical', 'Engineering', 'Negotiation', 'negotiation skills', 'Outdoor Sales']"
PHP intern,Full Time,On-site,Exco Egypt,"Nasr City, Cairo",Posted 6 days ago,80,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,IT/Software Development,"['APIs', 'Computer Science', 'CSS', 'HTML', 'Information Technology (IT)', 'Laravel', 'MySQL', 'PHP', 'JavaScript', 'Software Development', 'Git']"
Electrical Design Team leader,Full Time,On-site,Cosmos,"Sheraton, Cairo",Posted 5 days ago,16,2 open positions,8 To 15 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['Electrical Engineering', 'AutoCAD', 'Revit', 'Team management']"
Tendering Engineer,Full Time,On-site,CSI,"Heliopolis, Cairo",Posted 2 months ago,66,3 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['Electrical Engineering', 'Mechanical Engineering', 'Skills', 'Tendering', 'TO', 'AutoCAD', 'Engineering', 'Electrical', 'Mechanical', 'MEP']"
Wordpress Developer,Full Time,Remote,MyStartupsinc,"Giza, Giza",Posted 1 month ago,73,2 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Information Technology (IT)', 'APIs', 'MySQL', 'Computer Science', 'CSS3', 'HTML5', 'JavaScript', 'Git', 'PHP', 'SEO', 'UI', 'WordPress']"
Purchasing Specialist,Full Time,On-site,ECRAL,"Nasr City, Cairo",Posted 2 months ago,129,3 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,1 To 1 EGP Per Month,Purchasing/Procurement,"['Logistics', 'Purchasing', 'Purchasing Specialist', 'Supply Chain']"
Wearhouse Supervisor (logistics),Full Time,On-site,Outservingplus,"Cairo, Egypt",Posted 2 months ago,54,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Logistics Operations', 'Logistics Management']"
Sales Associate (In Store),Full Time,On-site,Koay Silver,"Sheikh Zayed, Giza",Posted 20 days ago,16,4 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"6000 To 8000 EGP Per Month, Commissions & Benefits",Sales/Retail,"['Communication', 'Customer', 'Retail', 'Retail Sales', 'Sales', 'sales skills', 'Sales Target', 'Customer Service', 'inventory', 'jewelry', 'Silver', 'gold']"
Senior Property Consultant,Full Time,On-site,Westridge,"Sheikh Zayed, Giza",Posted 12 days ago,Be the First to Apply,,6 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,"['Property', 'Consultant', 'Property consultant', 'sales skills', 'Sales Target', 'Senior Property consultant', 'senior', 'Sales', 'Real Estate', 'Commercial', 'Communication', 'English', 'Management', 'Properties', 'residential', 'Selling']"
Senior Product Design- Furniture,Full Time,On-site,C.Reality,"Zamalek, Cairo",Posted 8 days ago,8,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Medical Insurance Performance-Based Bonus",Creative/Design/Art,"['Senior Product Design- Furniture', 'Senior Product Design', 'Product Design', 'Furniture Design', '3D', 'AutoCAD', 'Design Software', 'Furniture', 'Applied Arts', '3d max']"
Graphic Designer,Full Time,On-site,ALQURASHI,"Maadi, Cairo",Posted 2 months ago,94,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,9000 To 12000 EGP Per Month,Creative/Design/Art,"['Motion Graphics', 'Graphic Design', 'graphics', 'Adobe illustrator', 'Adobe Photoshop', 'illustrator', 'photoshop', 'Video Editing', 'indesign']"
Sales Representative,Full Time,On-site,Tradeline Stores,"Nasr City, Cairo",Posted 2 months ago,30,10 open positions,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,"['Customer Service', 'Negotiation', 'New Cairo', 'sales skills', 'Sales', 'Sales Target', 'Selling', 'selling skills', 'Skills']"
Junior Architect,Full Time,On-site,SODIC Clubs,"6th of October, Giza",Posted 11 days ago,29,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Architectural Engineering', 'Engineering', 'Design', 'Revit', 'AutoCAD', 'Sketchup', 'Architecture', 'Project Management', 'Creative Thinking']"
Commercial Sales Lead (Business Development),Full Time,Hybrid,Skybound CX,"Nasr City, Cairo",Posted 11 days ago,32,2 open positions,2 To 10 Years,Manager,Bachelor'S Degree,"20000 To 25000 EGP Per Month, Uncapped Commission Structure – The More You Close, The More You Earn!",Business Development,"['Business Development', 'Sales', 'Arabic', 'business', 'Communication', 'CRM', 'Customer', 'English', 'Negotiation', 'sales skills', 'Sales Target', 'Service']"
Placement Test specialist ( Ex. English Instructor),Full Time,On-site,SYE English Community,"Dokki, Giza",Posted 23 days ago,5,1 open position,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,"['Education', 'Teaching', 'CELTA', 'TEFL', 'Communication skills', 'Training', 'Testing', 'technical']"
Graphic Designer,Full Time,On-site,Air Arabia,"Mohandessin, Giza",Posted 1 month ago,62,1 open position,2 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['Adobe Photoshop', 'Creative', 'Design', 'Graphic', 'Graphic Design', 'indesign', 'Marketing', 'photoshop', 'media', 'Social Media']"
Electrical Technical Office Engineer,Full Time,On-site,New Plan,"New Capital, Cairo",Posted 26 days ago,86,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, +Bonus",Engineering - Mechanical/Electrical,"['AutoCAD', 'Electrical', 'Electrical Design', 'Electrical Engineering', 'Engineering', 'Revit', 'TO', 'Technical Office Engineering', 'Technical Office']"
Market Research Analyst,Full Time,On-site,Creative Motion,"Maadi, Cairo",Posted 2 months ago,43,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Market Analysis', 'Market Research', 'Finance', 'Research', 'Marketing', 'Analysis', 'Real Estate']"
Document Controller,Full Time,On-site,APEX Pharma,"Badr City, Cairo",Posted 1 month ago,98,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,"['Administration', 'Document', 'Document Control', 'document controller', 'Document Management', 'EDMS', 'Editing', 'Microsoft Office', 'MS Office', 'Project Management', 'Typing', 'Admin', 'AutoCAD', 'Corporate Law', 'Pharmaceutical', 'quality']"
Senior Internal Auditor,Full Time,On-site,Allianz,"New Cairo, Cairo",Posted 14 days ago,41,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Other,"['Auditing', 'CMA', 'CIA', 'Internal Audit']"
General Accountant,Full Time,Remote,,"Sheraton, Cairo",Posted 12 days ago,112,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Accounting', 'Accounting Software', 'Financial', 'Accounts Payable', 'Communication skills', 'excel', 'Finance', 'Banking', 'Financial Management', 'Financial Analysis', 'Software', 'Reporting']"
Store Keeper,Full Time,On-site,What's up For Women’s Wear Company,"Abu Rawash, Giza",Posted 2 months ago,29,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['inventory', 'Inventory Management', 'Logistics', 'Management', 'Store Keeping', 'Storekeeping', 'Supply Chain', 'Warehousing', 'Storage']"
Maintenance Engineer,Full Time,On-site,Venus International Free Zone,"Alexandria, Egypt",Posted 1 month ago,76,2 open positions,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Installation/Maintenance/Repair,"['Engineering', 'equipment', 'Maintenance', 'Maintenance Engineer', 'Mechanical', 'Troubleshooting', 'Safety', 'Skills', 'Mechanical Engineering']"
Community Services Agent,Full Time,On-site,EGYGAB Developments,"New Cairo, Cairo",Posted 2 months ago,17,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,"['Communication skills', 'Agent', 'community', 'Customer Care', 'Customer Service', 'Customer Support', 'Computer Skills', 'Interpersonal skills', 'Skills']"
HSE Section Head,Full Time,On-site,Hebeish Group,"Giza, Egypt",Posted 1 month ago,93,1 open position,5 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Quality,"['Industrial', 'Health and Safety', 'Safety', 'Occupational', 'Leadership', 'Health', 'Microsoft Office', 'Science']"
Medical Representative - Delta,Full Time,On-site,Pharma Mix,"Kafr Alsheikh, Egypt",Posted 2 months ago,7,1 open position,0 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Medical/Healthcare,"['Medical', 'Pharmacy', 'Sales', 'sales skills', 'Science', 'Training', 'Veterinary']"
Learning and Development Specialist,Full Time,On-site,Elabd Foods,"Abu Rawash, Giza",Posted 28 days ago,43,1 open position,1 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonuses, Medical And Social Insurance",Human Resources,"['Human Resources (HR)', 'Microsoft Office', 'Training', 'Presentations', 'Human Resources Development', 'L&D', 'English', 'learning', 'Education', 'Management']"
Human Resource Business Partner,Full Time,On-site,,"New Cairo, Cairo",Posted 2 months ago,245,1 open position,5 To 10 Years,Manager,Not Specified,Confidential,Human Resources,"['HR', 'HR Specialist', 'HRIS', 'HR Strategy', 'Human Resources (HR)', 'Human Resources Development', 'Human Resource Information System', 'OD', 'Talent acquisition', 'Talent management', 'Organization Development', 'Recruitment', 'Labour Law']"
Admin Assistant,Full Time,On-site,Canadian International School,"New Cairo, Cairo",Posted 27 days ago,99,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['Accounting', 'Finance', 'Commerce', 'Microsoft Office']"
Architectural Technical Office Engineer,Full Time,On-site,PAVILLION ARCHITECTS,"Heliopolis, Cairo",Posted 12 days ago,70,1 open position,2 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Architectural Engineering', 'Engineering', 'Architecture', 'technical']"
Accountant,Full Time,On-site,Willow's Egypt,"Sheikh Zayed, Giza",Posted 2 months ago,91,4 open positions,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Basic Salary + 12% Service Charge + Meal Allowance",Accounting/Finance,"['Accounting', 'excel', 'Finance', 'Financial Management', 'MS Excel', 'General Ledger']"
Physics Teacher (Arabic),Full Time,On-site,GPS,"Cairo, Egypt",Posted 2 months ago,20,1 open position,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Education/Teaching,"['Education', 'Teaching']"
Project Director,Full Time,On-site,Byld APR Construction,"Cairo, Egypt",Posted 27 days ago,119,1 open position,More Than 15 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,Male,Administration,"['Civil', 'Civil Engineering', 'Communication', 'Construction', 'Engineering', 'Leadership', 'Management', 'Operations', 'Project', 'Project Management', 'Projects', 'Software']"
Senior Accountant,Full Time,On-site,Flordor,"Cairo, Egypt",Posted 1 month ago,82,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Accounting/Finance,"['Odoo ERP', 'Accountant', 'excel', 'Finance', 'Accounting', 'Financial Analysis', 'Financial Management', 'General Ledger', 'Accounting Software', 'FreshBooks', 'MS Excel', 'Odoo']"
Site Engineer (Interior Design ),Full Time,On-site,Amr Helmy Designs,"Maadi, Cairo",Posted 2 months ago,174,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Architecture', 'Engineering', 'Finishing', 'Design', 'Construction', 'Interior Finishing', 'Interior Design', 'Communication', 'Management', 'Project Management']"
Sales Advisor,Full Time,On-site,Dimension,"Shubra, Cairo",Posted 1 month ago,Be the First to Apply,,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"7500 To 7500 EGP Per Month, Over Achievement And Incentive",Sales/Retail,"['Customer Service', 'Sales', 'Sales Target', 'Telecommunication', 'Communication', 'English']"
